"KCB GROUP PLC
AUDITED FINANCIAL STATEMENTS AND OTHER DISCLOSURES FOR THE PERIOD ENDED 31 DECEMBER 2024",Column,Column,Column,Column,Column,Column,Column
,"KCB BANK KENYA
,"58,375,497
-","33,252,179
-","921,496
-","(4,277,386)
-","6,088,323
-","801,837
-","81,972,627
-"
,"58,375,497
(18,275,739)
4,929,555","33,252,179
(15,493,212)
7,651,047","921,496
(23,397)
94,925","(4,277,386)
(924,045)
1,859,518","6,088,323
(67,668)
(44,962)","801,837
(1,625)
(31,909)","81,972,627
(25,577,875)
5,379,452"
,"45,029,313
-","25,410,014
-","993,024
-","(3,341,913)
-","5,975,693
-","768,303
-","61,774,204
1,684,851"
,"45,029,313
-
-
8,873,000
8,000
-
(2,487,000)","25,410,014
-
(8,228,538)
84,000
-
2,443,361","993,024
-
2,105,176
-
-
(631,553)","(3,341,913)
-
(1,678,508)
-
-
503,552","5,975,693
-
-
-
-
-","768,303
-
-
-
-
-","60,089,353
-
(17,102,300)
10,801,022
8,000
-
(3,242,707)"
,"6,394,000","(5,701,177)","1,473,623","(1,174,956)",-,-,"(9,535,985)"
,"51,423,313","19,708,837","2,466,647","(4,516,869)","5,975,693","768,303","52,238,219"
,0.83,0.47,0.39,(1.32),1.86,0.24,18.70
,"0.24
176,810,996
26,112,093","-
166,261,943
19,536,792","-
30,794,509
3,496,589","-
25,186,337
2,719,289",-,-,"3.00
225,694,852
30,292,964"
,"150,698,903","146,725,151","27,297,920","22,467,048",,,"195,401,888"
,"90,352,938","83,222,474","14,471,642","11,773,029",,,"116,530,127"
,"60,345,965","63,502,677","12,826,278","10,694,019",,,"78,871,761"
,"56,901,270","51,484,289","11,211,299","9,814,256",,,"72,548,615"
,"3,444,695","12,018,388","1,614,979","879,763",,,"6,323,146"
,"8,357,211
17,227,793","20,758,516
14,114,560","-
4,853,840","78
5,126,033",,,"14,717,996
23,482,292"
,"25,585,004","34,873,076","4,853,840","5,126,111",,,"38,200,288"
,"242,222,423
24,530,418
-","452,930,457
5,181,610
-","8,046,250
38,768
-","16,359,516
15,700
-",,,"307,745,726
24,768,499
-"
,"266,752,841","458,112,067","8,085,018","16,375,216",,,"332,514,225"
,"144,770,039
1,000,000
143,770,039
32,072,475","114,331,552
1,000,000
113,331,552
39,256,396","8,996,312
1,000,000
7,996,312
4,600,569","8,183,125
1,000,000
7,183,125
5,457,095",,,"267,988,187
1,000,000
266,988,187
39,989,581"
,"176,842,514","153,587,948","13,596,881","13,640,220",,,"307,977,768"
,"962,569,845","971,783,711","99,948,077","109,242,549",,,"1,590,674,489"
,14.8%,10.1%,9.0%,6.7%,,,19.4%
,"8.0%
6.8%","8.0%
2.1%","8.0%
1.0%","8.0%
(1.3%)",,,"8.0%
11.4%"
,15.0%,11.8%,9.0%,7.5%,,,16.8%
,"10.5%
4.5%","10.5%
1.3%","10.5%
(1.5%)","10.5%
(3.0%)",,,"10.5%
6.3%"
,18.4%,15.8%,13.6%,12.5%,,,19.4%
,"14.5%
3.9%
42.4%
20.0%","14.5%
1.3%
46.2%
20.0%","14.5%
(0.9%)
34.4%
20.0%","14.5%
(2.0%)
43.5%
20.0%",,,"14.5%
4.9%
47.6%
20.0%"
,22.4%,26.2%,14.4%,23.5%,,,27.6%
