"2022
Loans and advances to customers","Corporate
KShs million","Mortgages
KShs million","Retail
KShs million","Total
KShs million"
,"40,242","2,844","11,773","54,859"
,"34,464",781,"7,890","43,135"
,"(13,260)","(2,225)","(12,819)","(28,304)"
,"(7,519)",(688),"(2,790)","(10,997)"
,"(2,436)",-,-,"(2,436)"
,"51,491",712,"4,054","56,257"
,"7,458",641,"6,788","14,887"
,"(1,379)","(1,312)",687,"(2,004)"
,(91),-,-,(91)
,"5,988",(671),"7,475","12,792"
,"57,479",41,"11,529","71,485"
