USD,GBP,Euro,Other,Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"3,051",422,781,352,"4,606"
-,-,-,-,-
"46,574",1,"2,150",-,"48,725"
"1,918",16,89,4,"2,027"
"51,543",439,"3,020",356,"55,358"
251,7,86,24,368
"30,369",376,"3,750",134,"34,629"
"18,127",47,346,42,"18,562"
"48,747",430,"4,182",200,"53,559"
