Column,DIRECTORS FEES,SITTING ALLOWANCE,"OTHER
ALLOWANCES(1)",NON CASH BENEFIT(2),TOTAL
Director’s Name,KShs. million,KShs. million,KShs. million,KShs. million,KShs. million
,6,2,4,1,
,3,-,-,-,
,1,7,2,-,
,4,1,1,-,
,6,5,3,-,
,3,3,2,-,
,3,5,2,-,
,2,4,1,-,
,3,3,1,-,
,3,1,1,-,
,1,1,-,-,
,,,,,85
