"Date of change
(Month)",Legislation,Change,Impact to KCB
February 2022,"The Landlord and
Tenant Act, 2022","Introduction of the Act setting out various elements
including:
• Requirement for all tenancy agreements of twenty-
five currency points or more
(Ugx 500,000) to be in writing.
• Imposing responsibility of the payment of taxes and
rates on the landlord.
• Imposing the responsibility of payment of all utilities
on the tenant
• Providing guidelines for the tenant on how to act with
respect to the premises.","The bank has largely
complied with the
provisions of the Act
which have now been
codified."
February 2022,"The Trustees
Incorporation
(Amendment) Act, 2022","Creates a requirement for trustees or a trustee with
beneficial owners to keep a register of its beneficial
owners.","Compliance to avoid
penalties."
February 2022,"The Cooperative
Societies (Amendment)
Act, 2022",Creates a requirement to register beneficial owners,"Compliance to avoid
penalties."
June 2022,"The Stamp Duty
(Amendment) Act, 2022","The stamp duty on security documents such as
pledges, mortgages, security bonds has been scraped
off to nil from 1% of the facility amount reducing the
cost of borrowing.","Application of change in
securitization."
June 2022,"The Value Added Tax
(Amendment) Act, 2022","The Act introduces value added tax on imported
services used by businesses in making exempt
supplies, provides for the repeal of the exemption
on cotton seed cake, exempts assistive devices for
persons with disabilities, provides for an exemption
for supply of airport user services charge by the Civil
Aviation Authority, provides for equal treatment of
supplies of educational materials from the East African
Community Partner States and to provide for related
matters.","Key to note is that VAT
is now charged on
imported services used
for making exempt
supplies a drift from
the earlier position
where the services were
exempt and considered
as zero-rated supplies."
June 2022,"The Income Tax
(Amendment) Act 2022","• The definition of a “beneficial owner” has been
substituted to mean in relation to the natural person
who ultimately owns or controls a customer or the
natural person on whose behalf a transaction is
conducted and includes a person who exercises
ultimate control over a legal person or arrangement.
• In relation to a legal person, to include the natural
person who either directly or indirectly holds at least
ten percent of shares or voting rights of the legal
person; the natural person who exercises control
of the legal person through other means including
personal or financial superiority; and the natural
person who has power to make or influence decisions
of a legal person.
• The “exempt organizations” have been revised to
mean a religious, charitable, educational institution or
research institution whose object is not for profit.","Application of change
customer UBO
identification."
