"Retail banking
Kshs.‘000","treasury
Kshs.‘000","mortgages
Kshs.‘000","other
Kshs.‘000","total
Kshs.‘000"
"24,076,482
75,599,091
1,103,278","112,990,895
-
158,488","-
36,192,728
77,281","271,326
-
24,344,483","137,338,703
227,721,781
25,791,095"
"100,778,851","113,149,383","36,270,009","24,615,809","390,851,579"
"164,170,823
-
148,475
-","2,736,887
14,370,624
82,399
-","2,130,376
-
-
-","-
7,235,348
63,354,967","305,659,189
14,370,624
7,466,799
63,354,967"
"164,319,298","17,189,910","2,130,376","70,590,315","390,851,579"
"14,576,889
67,657,544
3,186,472","121,555,892
-
146,143","-
32,985,491
72,714","-
-
16,710,219","136,132,781
211,664,226
20,221,778"
"85,420,905","121,702,035","33,058,205","16,710,219","368,018,785"
"149,875,259
-
561,488
-","-
18,256,901
66,315
-","1,740,799
-
9,922
-","-
6,733,720
54,295,059","288,037,367
18,256,901
7,429,458
54,295,059"
"150,436,747","18,323,216","1,750,721","61,028,779","368,018,785"
