FY 2021,H1 2022,Q3 2022,FY 2022
,"494
30.1
1,168
18,156
6,405
8,877",,
492,,498,
28.4,,30.9,
"1,178",,"1,172",
"16,441",,"21,176",
"6,072",,"6,546",
"8,538",,"8,803",
,"12.15
-
3,213
193,190
38.65
124.2",,
10.61,,12.64,
3.00,,1.00,
"3,213",,"3,213",
"193,274",,"193,430",
45.45,,41.45,
146.1,,133.2,
113.14,,120.73,
