"2015
KShs ‘000",Column,"2015
KShs ‘000"
"4,401,837","3,152,735
4,239,961
11,011,438","3,256,720"
"7,725,256",,"6,577,435"
"11,350,382",,"9,454,964"
,"18,404,134
(9,528,190)",
"23,477,475",,"19,289,119"
"(8,051,828)",,"(6,293,700)"
,"8,875,944",
"15,425,647",,"12,995,419"
,"250,836,465
24,876,342",
"301,659,376",,"276,052,686"
"30,549,855",,"24,396,353"
,"275,712,807
(856,546)",
"332,209,231",,"300,449,039"
"(1,666,192)",,"(1,364,474)"
,"274,856,261",
"330,543,039",,"299,084,565"
,"283,732,205",
"345,968,686",,"312,079,984"
