III OTHER DISCLOSURES,BANK,Column,GROUP,Column,Column
"1NON-PERFORMING LOANS AND ADVANCES
a) Gross Non-performing loans and advances
b) Less Interest in Suspense
c)Total Non-Performing Loans and Advances (a-b)
d) Less Loan Loss Provision
e) Net Non-Performing Loans and Advances(c-d)
f) Discounted Value of Securities
g) Net NPLs Exposure (e-f)
2INSIDER LOANS AND ADVANCES
a) Directors, Shareholders and Associates
b) Employees
c)Total Insider Loans and Advances and other facilities
3OFF-BALANCE SHEET ITEMS
a)Letters of credit,guarantees, acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d)Total Contingent Liabilities","31-Dec-13
Kshs 000
Audited","31-Dec-14
Kshs 000
Audited","31-Dec-13
Kshs 000
Audited","31-Dec-14
Kshs 000
Audited",-
,"1 5,199,950
1 ,679,228","1 3,367,944
1 ,809,962","1 9,227,705
2 ,200,117","1 8,404,132
2 ,588,273",
,"1 3,520,722","1 1,557,982","1 7,027,588","1 5,815,859",
,"6 ,090,384","6 ,764,855","6 ,761,992","9 ,402,308",
,"7 ,430,338","4 ,793,127","1 0,265,596","6 ,413,551",
,"5 ,376,081","4 ,793,127","6 ,601,170","6 ,413,551",
,"2 ,054,257",-,"3 ,664,426",( 0),
,"6 32,814
7 ,688,747","3 75,380
8 ,912,786","7 80,620
8 ,007,598","6 48,670
9 ,795,649",
,"8 ,321,561","9 ,288,166","8 ,788,218","1 0,444,319",
,"1 06,425,736
1 2,660,294","6 9,223,656
3 5,375,754","1 08,989,120
1 2,804,686
-","7 2,326,419
3 6,498,020
-",
,"1 19,086,030","1 04,599,410","1 21,793,806","1 08,824,439",
"4CAPITAL STRENGTH
a)Core capital
b) Minimum Statutory Capital
c)Excess (a-b)
d) Supplementary Capital
e) Total Capital (a+d)
f)Total risk weighted assets
g) Core Capital/Total deposits Liabilities
h) Minimum statutory Ratio
I) Excess
j) Core Capital / total risk weighted assets
k) Minimum Statutory Ratio
l) Excess (j-k)
m) Total Capital/total risk weighted assets
n) Minimum statutory Ratio
o) Excess (m-n)
5LIQUIDITY
a) Liquidity Ratio
b) Minimum Statutory Ratio
c) Excess (a-b)","50,905,250
1,000,000
4 9,905,250
1 0,293,318
6 1,198,568
2 72,565,071
21.5%
10.5%
11.0%
18.7%
10.5%
8.2%
22.5%
14.5%
8.0%
33.3%
20.0%
13.3%","57,805,191
1,000,000
5 6,805,191
1 3,405,197
7 1,210,388
3 38,877,072
20.9%
10.5%
10.4%
17.1%
10.5%
6.6%
21.0%
14.5%
6.5%
31.3%
20.0%
11.3%",,,
