KCB BANK KENYA,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Jun-24
Kshs 000
Un-audited","31-Mar-24 31-Dec-23 30-Jun-23
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
8,477,716 12,004,831 8,559,788
41,177,966 37,025,707 28,367,249
- - -
- - -
- -
141,913,697 141,142,941 141,109,708
- - -
162,976,441 160,391,132 129,622,651
2,024,175 1,962,601 1,961,923
5,603,872 - 10,628,742
148,976,787 222,625,002 111,734,297
- - 224,335
698,236,955 740,241,723 667,988,740
9,628,304 8,151,025 8,887,593
590,558 590,558 512,639
- - -
- - -
12,600,607 12,600,607 12,600,607
11,002,744 11,388,392 10,951,552
113,908 114,532 115,779
3,153,559 3,155,620 3,154,330
28,481,309 29,773,610 23,795,094
- - -
52,879,872 44,201,546 21,444,316","30-Jun-24
Kshs 000
Un-audited","31-Mar-24 31-Dec-23 30-Jun-23
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
1,188,646 2,093,761 1,292,440
4,308,112 6,115,301 3,678,269
- - -
- - -
- - -
22,368,159 23,798,376 23,995,864
303,928 295,081 294,984
23,221,547 22,212,977 24,341,103
- - -
4,356,609 6,095,778 3,802,703
1,106,684 2,457,670 1,229,957
267,867 275,374 269,959
81,867,746 79,483,476 77,207,413
192,714 29,692 30,491
888,910 989,304 811,184
5,000 5,000 5,000
- - -
- - -
1,780,947 1,890,183 1,826,355
- - -
1,292,143 995,902 373,115
6,737,478 6,786,926 5,509,119
- - -
7,064,296 7,581,563 6,948,440","30-Jun-24
Kshs 000
Un-audited","31-Mar-24 31-Dec-23 30-Jun-23
Kshs 000 Kshs 000 Kshs 000
Un-audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
1,175,065 926,902 622,880
- - 243,149
113,188 113,188 91,699
- - -
944,483 5,969,547 1,970,336
- - -
114,280,238 114,280,238 114,270,238
- - -
- - -
866,007 840,667 827,559
- - -
979 1,491 2,527
77,956 77,956 105,699
- - -
35,837 88,959 90,207","30-Jun-24
Kshs 000
Un-audited"
"6,889,723",,"1,189,323",,-,,"32,519,726"
"43,757,729",,"6,330,682",,-,,"50,088,411"
"1,484,345",,-,,-,,"1,482,663"
-,,-,,-,,-
-,,-,,,,-
"141,120,019",,"22,462,937",,-,,"164,160,149"
-,,"294,984",,-,,"26,482,568"
"122,856,809",,"24,000,230",,-,,"147,792,049"
"1,961,806",,-,,-,,"18,630,457"
"2,910,044",,"4,580,514",,"841,320",,"6,261,506"
"165,917,279",,"1,117,930",,-,,"350,875,821"
-,,"264,594",,"113,188",,-
"710,046,556",,"75,198,672",,-,,"1,032,170,263"
"11,111,578",,"61,741",,"5,321,545",,-
"701,222",,"824,969",,-,,"1,526,191"
-,,"5,000",,"114,280,238",,-
-,,-,,-,,-
"12,600,607",,-,,-,,"17,697,154"
"10,364,475",,"1,626,011",,"877,347",,"22,689,693"
"113,283",,-,,-,,"118,517"
"3,157,030",,"1,248,693",,467,,"15,291,431"
"31,732,748",,"6,118,145",,"77,956",,"40,146,728"
-,,-,,-,,-
"29,972,994",,"6,935,934",,"59,938",,"48,922,856"
"1,296,698,247","1,327,838,470 1,425,369,827 1,181,659,343","152,260,359","156,950,786 161,106,364 151,616,396","121,571,999","117,493,753 122,298,948 118,224,294","1,976,856,183"
,"55,155,966 44,054,813 -
997,078,186 1,116,875,397 934,197,544
10,378,822 2,841,913 9,761,900
6,184,931 9,571,500 9,214,968
- - -
64,882,049 75,277,742 60,466,819
2,131,625 1,072,354 1,204,340
3,265,060 1,265,190 -
- - -
- - -
601,000 601,000 585,000
37,018,978 35,092,114 35,474,817",,"18,766,735 10,022,068 -
105,443,195 118,307,630 117,852,925
5,623,098 1,437,359 3,888,221
944,522 3,721,647 4,757,270
- - -
4,605,349 5,509,747 4,991,152
121,615 103,494 119,735
- - -
- - -
- - -
- - -
10,282,497 11,431,352 9,142,487",,"- - -
- - -
- - -
- - -
- - -
- - 18,175
6,690,378 11,170,103 4,218,000
- - -
- - -
- - -
- - -
521,056 625,186 591,909",
"67,443,836",,"18,962,021",,-,,"86,580,617"
"978,413,046",,"101,752,988",,-,,"1,490,592,612"
"8,549,922",,"3,954,806",,-,,"11,724,415"
"8,343,163",,"2,826,349",,-,,"22,845,074"
-,,-,,-,,-
"47,073,121",,"4,590,260",,-,,"58,801,003"
"2,199,077",,"123,785",,"10,736,709",,-
"2,244,543",,-,,-,,"3,203,433"
-,,-,,-,,-
-,,-,,-,,"2,831,235"
"601,000",,-,,-,,"1,061,662"
"23,031,095",,"7,574,888",,"3,122,520",,"50,962,690"
"1,137,898,803","1,176,696,617 1,286,652,023 1,050,905,388","139,785,097","145,787,011 150,533,297 140,751,790","13,859,229","7,211,434 11,795,289 4,828,084","1,728,602,741"
,"53,986,100 53,986,100 53,986,100
- - -
- - -
97,198,486 77,018,593 60,139,071
8,599,833 17,609,858 23,012,130
(8,642,566) (9,896,747) (6,383,346)
- - -
- - -",,"12,683,038 12,683,038 12,683,038
3,141,319 3,141,319 3,141,319
- - -
(5,904,116) (6,939,156) (9,032,528)
3,056,479 3,647,302 5,239,025
(1,812,945) (1,959,436) (1,166,248)
- - -
- - -",,"3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149
- - -
79,378,707 79,600,047 82,492,598
- - -
- - -
- - -
- - -",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,-,,-,,-
"98,932,024",,"(5,726,084)",,"71,988,964",,"226,146,384"
"10,493,438",,"3,262,968",,-,,"9,409,416"
"(11,039,043)",,"(885,979)",,-,,"(30,272,805)"
"6,426,926",,-,,"4,820,194",,"4,820,194"
-,,-,,-,,-
"158,799,444","151,141,853 138,717,804 130,753,955","12,475,262","11,163,775 10,573,067 10,864,606","107,712,770","110,282,319 110,503,659 113,396,210","241,006,801"
-,- - -,-,- - -,-,- - -,"7,246,641"
"1,296,698,247","1,327,838,470 1,425,369,827 1,181,659,343","152,260,359","156,950,786 161,106,364 151,616,396","121,571,999","117,493,753 122,298,948 118,224,294","1,976,856,183"
,"22,195,431 74,671,015 31,955,426
10,667,203 32,498,604 13,215,558
1,266,489 2,629,985 436,181
- - -",,"2,352,783 7,590,011 3,569,738
1,471,620 5,642,888 2,785,559
35,105 125,673 31,660
8,846 35,501 17,610",,"- - -
- - -
10,707 33,709 14,974
75,499 218,051 67,604",
"44,725,193",,"5,090,679",,-,,"69,193,108"
"20,216,190",,"2,927,177",,-,,"25,470,078"
"2,205,716",,"52,431",,"22,680",,"2,752,807"
-,,"17,697",,"139,977",,-
"67,147,099","34,129,123 109,799,604 45,607,165","8,087,984","3,868,354 13,394,073 6,404,567","162,657","86,206 251,760 82,578","97,415,993"
,"10,424,954 32,241,049 12,275,472
3,133,340 12,492,319 4,658,714
64,227 291,444 150,435",,"1,090,499 3,912,421 1,699,490
295,545 1,186,173 750,370
100,806 391,432 163,174",,"- - -
- - -
73,037 218,051 67,604",
"20,485,148",,"1,927,971",,-,,"25,555,198"
"6,650,368",,"1,050,895",,-,,"10,347,640"
"128,895",,"218,215",,"162,601",,"185,979"
"27,264,411","13,622,521 45,024,812 17,084,621","3,197,081","1,486,850 5,490,026 2,613,034","162,601","73,037 218,051 67,604","36,088,817"
"39,882,688","20,506,602 64,774,792 28,522,544","4,890,903","2,381,504 7,904,047 3,791,533",56,"13,169 33,709 14,974","61,327,176"
,"2,120,661 10,072,187 5,316,089
3,327,555 11,644,226 4,728,383
4,006,299 7,276,984 4,001,639
- - -
789,350 4,332,503 2,440,546",,"90,694 302,143 186,632
439,200 1,366,559 612,259
378,538 952,087 503,285
- 51,144 51,144
(21,784) 596,877 298,904",,"- - -
- - -
(168,141) 31,446 23,865
- 1,091,168 691,168
251,474 1,328,965 608,157",
"4,358,621",,"192,927",,-,,"5,633,072"
"6,922,802",,"874,710",,-,,"14,332,492"
"6,090,393",,"582,066",,"(75,395)",,"9,971,986"
-,,"75,000",,-,,-
"2,200,178",,"(44,737)",,"512,596",,"3,356,722"
"19,571,994","10,243,865 33,325,900 16,486,657","1,679,966","886,648 3,268,810 1,652,224","437,201","83,333 2,451,579 1,323,190","33,294,272"
"59,454,682","30,750,467 98,100,692 45,009,201","6,570,869","3,268,152 11,172,857 5,443,757","437,257","96,502 2,485,288 1,338,164","94,621,448"
