Entity,Number of shares,% Shareholding
,"635,001,947",
,"272,552,009",
,"129,297,900",
,"63,984,400",
,"51,289,541",
,"29,514,900",
,"29,013,023",
,"28,193,900",
,"27,574,726",
,"26,432,015",
,"1,292,854,361",
