Kenya,16.7%,13.1%,12.2%,10.1%,7.7%,6.1%,5.3%,4.1%,3.3%,3.0%,3.7%,4.5%,4.1%
Tanzania,19.0%,18.7%,18.2%,17.4%,15.7%,14.1%,13.5%,12.9%,12.2%,12.2%,10.9%,10.4%,9.8%
Uganda,21.2%,20.0%,18.6%,18.0%,14.3%,11.9%,5.4%,4.5%,4.9%,5.5%,4.9%,3.5%,4.0%
Rwanda,8.2%,6.9%,8.3%,5.9%,5.6%,5.8%,5.6%,5.4%,4.6%,3.9%,5.7%,4.6%,3.3%
Burundi,24.5%,25.2%,22.5%,17.3%,17.6%,16.0%,15.8%,15.9%,11.7%,11.8%,10.0%,12.0%,13.2%
South Sudan,50.9%,29.6%,79.5%,74.1%,60.9%,43.3%,42.9%,21.5%,41.1%,25.2%,35.0%,23.2%,14.1%
