"2012
KShs’000","2011
KShs’000"
"793
776,217
141,003
15,619","(77,920)
408,730
-
-"
"933,632","330,810"
"499,900
473,790
115,207
223,118
78,832
5,228,033","499,900
472,696
112,160
120,190
611,036
4,034,435"
"6,618,880","5,850,417"
"5,685,248","5,519,607"
