DEAL TYPE,TRANSACTION DESCRIPTION
High End Mall,"Raising equity for a high-end mall worth KShs 1.28 billion by way
of a Joint Venture (JV) with the land owner and third party equity
providers."
Debt Restructuring,"Co-mandate leader in USD 110 million debt restructuring of large
manufacturing company in Kenya."
Transaction Advisor,"Mandate for debt restructuring of a high end complex to determine
the optimal financing structure for the client"
