Column,Column,KCB KENYA BANK,Column,Column,Column,Column,NATIONAL BANK OF KENYA,Column,Column,Column,Column,KCB GROUP PLC COMPANY,Column,Column,Column,Column,KCB GROUP PLC CONSOLIDATED,Column,Column,Column,Column
,,"51,872,160","54,455,146 56,543,010 62,146,449 52,124,826",,,,"7,709,785","8,892,025 7,032,471 5,575,691 8,168,334",,,,,,,,,"66,570,445",,,,
,,"4,386,064","5,968,843 4,527,060 4,207,802 8,056,846",,,,"316,444","203,003 500,672 257,994 169,903",,,,,,,,,"4,334,205",,,,
,,"22,007,322","18,636,524 16,381,229 10,588,373 11,042,202
14,266,952 14,717,824 14,749,609 14,764,935",,,,105,"42 51 19 45
5,239,808 5,700,537 5,725,588 5,713,443",,,,,,,,,"25,192,391",,,,
,,"14,042,386",,,,,"5,257,778",,,,,,,,,,"22,361,069",,,,
,,"36,049,708","32,903,476 31,099,053 25,337,982 25,807,137",,,,"5,257,883","5,239,850 5,700,588 5,725,607 5,713,488",,,,,,,,,"47,553,460",,,,
,,,"328,204,649 180,131,434 111,462,201 114,016,500
8,833,888 16,378,420 4,928,705 17,975,280
- - - -",,,,,"16,958,850 9,067,134 8,622,735 6,632,984
3,426,807 5,390,978 6,121,453 6,087,075
- - - -",,,,,,,,,,,,,
,,"402,864,294",,,,,"19,786,006",,,,,,,,,,"477,503,198",,,,
,,"969,628",,,,,"3,721,349",,,,,,,,,,"4,902,009",,,,
,,-,,,,,-,,,,,,,,,,-,,,,
,,"403,833,922","337,038,537 196,509,854 116,390,906 131,991,780",,,,"23,507,355","20,385,657 14,458,112 14,744,188 12,720,059",,,,,,,,,"482,405,207",,,,
,,"101,231,915","94,079,574 92,327,887 85,964,036 95,858,311",,,,"7,206,678","6,217,534 10,857,004 11,034,430 10,078,042",,,,,,,,,"215,245,532",,,,
,,"1,000,000","1,000,000 1,000,000 1,000,000 1,000,000",,,,"1,000,000","1,000,000 1,000,000 1,000,000 1,000,000",,,,,,,,,"1,000,000",,,,
,,"100,231,915","93,079,574 91,327,887 84,964,036 94,858,311",,,,"6,206,678","5,217,534 9,857,004 10,034,430 9,078,042",,,,,,,,,"214,245,532",,,,
,,"38,772,367","36,961,274 35,598,290 34,786,348 33,342,189",,,,"4,913,265","4,361,804 5,173,780 1,129,549 1,097,738",,,,,,,,,"49,224,831",,,,
,,"140,004,282","131,040,848 127,926,177 120,750,384 129,200,500",,,,"12,119,943","10,579,338 16,030,784 12,163,978 11,175,780",,,,,,,,,"264,470,363",,,,
,,"938,069,323","847,901,929 833,863,162 792,142,822 759,525,124",,,,"104,794,088","100,242,920 96,085,038 90,363,905 87,819,078",,,,,,,,,"1,481,955,946",,,,
,,9.0%,10.0% 12.5% 12.2% 13.9%,,,,6.1%,5.1% 10.5% 10.0% 9.0%,,,,,,,,,13.0%,,,,
,,8.0%,8.0% 8.0% 8.0% 8.0%,,,,8.0%,8.0% 8.0% 8.0% 8.0%,,,,,,,,,8.0%,,,,
,,1.0%,2.0% 4.5% 4.2% 5.9%,,,,(1.9%),(2.9%) 2.5% 2.0%v 1.0%,,,,,,,,,5.0%,,,,
,,10.8%,11.1% 11.1% 10.9% 12.6%,,,,6.9%,6.2% 11.3% 12.2% 11.5%,,,,,,,,,14.5%,,,,
,,10.5%,10.5% 10.5% 10.5% 10.5%,,,,10.5%,10.5% 10.5% 10.5% 10.5%,,,,,,,,,10.5%,,,,
,,0.3%,0.6% 0.6% 0.4% 2.1%,,,,(3.6%),(4.3%) 0.8% 1.7% 1.0%,,,,,,,,,4.0%,,,,
,,14.9%,15.5% 15.3% 15.2% 17.0%,,,,11.6%,10.6% 16.7% 13.5% 12.7%,,,,,,,,,17.8%,,,,
,,14.5%,14.5% 14.5% 14.5% 14.5%,,,,14.5%,14.5% 14.5% 14.5% 14.5%,,,,,,,,,14.5%,,,,
,,0.4%,1.0% 0.8% 0.7% 2.5%,,,,(2.9%),(3.9%) 2.2% (1.0%) (1.8%),,,,,,,,,3.3%,,,,
,,47.8%,44.0% 28.1% 29.9% 34.6%,,,,42.2%,45.2% 36.3% 40.5% 43.2%,,,,,,,,,50.3%,,,,
,,20.0%,20.0% 20.0% 20.0% 20.0%,,,,20.0%,20.0% 20.0% 20.0% 20.0%,,,,,,,,,20.0%,,,,
,,27.8%,24.0% 8.1% 9.9% 14.6%,,,,22.2%,25.2% 16.3% 20.5% 23.2%,,,,,,,,,30.3%,,,,
