Column,22001199,22001188
NNoottee,KKSShhss..’’mmiilllliioonn,KKSShhss..’’mmiilllliioonn
,"8833,,223355",
,"2255,,117744",
,"7700,,661144",
,"11,,118811",
,"11,,665511",
,"4444,,332288",
,"553355,,337711",
,"9966,,997777",
,555522,
,"1133,,113322",
,"66,,333377",
,"77,,115599",
,--,
,"1122,,886611",
,"889988,,557722",
,"2200,,337711",
,"668866,,558833",
,"44,,444477",
,"66,,110088",
,"2299,,770011",
,113366,
,"2211,,448855",
,"776688,,883311",
,"33,,221133",
,"2277,,669900",
,"55,,991155",
,"((88,,442299))",
,"9933,,331199",
,"88,,003333",
,"112299,,774411",
,"889988,,557722",
