Shareholder,Number of Shares,% Shareholding
,"635,001,947",19.76
,"312,711,292",9.73
,"132,720,200",4.13
,"64,789,541",2.02
,"63,984,400",1.99
,"29,514,900",0.92
,"29,013,023",0.90
,"28,544,093",0.89
,"27,574,726",0.86
,"26,158,400",0.81
,"1,350,012,522",42.01
