Mr. Ngeny Biwott,9,Column,Column,Column,Column,Column,Column,Column
Mr. Henry Rotich*,7,,18,,9,,4,3
Mrs. Charity M. Ngaruiya,9,6,,5,11,,2,
Mr. Adil Khawaja,7,,,5,5,5,2,
Mr. Joseph Kibwana,9,6,,,,5,5,
Mrs. Catherine Kola,7,,22,2,,,,3
Mr. Tom Ipomai,9,,24,,11,5,,5
Ms. Georgina Malombe**,4,4,,3,,,2,2
Mr. John Nyerere**,5,,9,3,,2,2,
Eng. Musa Ndeto***,4,2,,,,,3,
Prof. Peter Kimuyu***,1,,7,,,2,1,
Mr. Joshua Oigara,9,,20,,,1,3,
Mr. Collins Otiwu****,4,,,,,,,
