Q3 2020,Q3 2021,"Y-O-Y
Change",Q3 2020,Q3 2021,"Y-O-Y
Change"
48.6,68.1,40%,38.2,56.5,48%
36.6,60.1,64%,8.5,21.3,152%
236.2,252.4,7%,166.1,165.2,(1%)
577.5,651.8,13%,445.7,511.3,7%
25.5,31.9,25%,15.5,19.9,29%
47.5,58.2,22%,35.4,44.5,26%
972.0,"1,122.5",15%,739.4,818.8,11%
772.7,859.1,11%,595.9,631.3,6%
16.6,26.6,60%,1.2,4.3,257%
20.4,35.3,73%,17.9,33.1,85%
26.4,37.1,40%,20.3,26.8,32%
836.1,958.1,15%,635.2,695.5,9%
135.9,163.0,20%,104.1,123.4,18%
972.0,"1,122.5",15%,739.4,818.8,11%
