2021,Column,Column,2020,Column,Column
"KShs million
amount","1%
Increase","1%
Decrease","Carrying
amount","1%
Increase","1%
Decrease"
"71,300",716,716,"64,608",(646),646
"26,308",266,266,"23,706",(237),237
"5,456",55,55,-,-,-
"138,775","1,388","1,388","94,284",(943),943
"10,666",107,107,"6,035",(60),60
"25,882",259,259,650,(7),7
"672,520","6,725","6,725","595,255","(5,953)","5,953"
"130,525","1,305","1,305","111,357","(1,114)","1,114"
"1,081,432","10,821","10,821","895,895","(8,960)","8,959"
"47,504",478,478,"19,668",197,(197)
"835,298","8,371","8,371","767,224","7,672","(7,672)"
458,5,(5),177,2,(2)
"26,074",261,(261),"9,765",98,(98)
"37,518",375,(375),"37,032",370,(370)
"947,368","9,490","9,490","833,866","8,339","(8,339)"
,"(1,331)","1,331",,(620),620
,(399),(399),,186,(186)
-,"(1,730)",932,-,(434),434
