"As 31 December 2022:
Cost","Freehold and
Lease Prem-
ises
Kshs million","Leasehold
Improve-
ments
Kshs million","Motor Vehi-
cle, Furniture
and Equip-
ment
Kshs million","Total
Kshs million"
,"7,453","4,412","33,278","45,143"
,728,-,268,996
,82,60,"3,871","4,013"
,"10,705",-,"5,324","16,029"
,"(1,142)",(4),(335),"(1,481)"
,337,(210),285,412
,-,(75),(45),(120)
,"18,163","4,183","42,646","64,992"
,"1,631","3,380","23,318","28,329"
,79,107,"2,649","2,835"
,"2,593",-,"3,158","5,751"
,(87),-,(327),(414)
,170,-,"1,618","1,788"
,119,(46),43,116
,-,(27),(21),(48)
,"4,505","3,414","30,455","38,374"
,"13,658",769,"12,191","26,618"
