Column,"AUDITED
Dec-­‐12","Un-­‐Audited
Mar-­‐12","Un-­‐Audited
Mar-­‐13","%
Change"
Net interest income,"30,636","6,971","7,374",6%
Foreign exchange income,"3,688",825,"1,046",27%
Gross fees and commissions,"9,613","2,397","2,427",1%
Other income,661,106,284,>100%
Total operaEng income,"44,598","10,299","11,131",8%
Total operaEng expenses,"(25,292)","(6,362)","(6,560)",3%
Profit before provisions & tax,"19,306","3,937","4,571",16%
Provisions for bad debts,"(3,756)",(794),(574),(28%)
Bad debts recovered,"1,658",250,265,6%
Profit before tax,"17,208","3,393","4,262",26%
Tax,"(5,005)",(966),"(1,229)",27%
Profit aber tax,"12,203","2,427","3,033",25%
