"2021
KShs million","2020
KShs million"
"53,986","53,986"
"60,678","48,232"
"(7,007)",-
"107,657","102,218"
"28,967","24,456"
"136,624","126,674"
"676,511","653,060"
20.2%,19.4%
15.9%,15.7%
14.5%,14.5%
10.5%,10.5%
