"24,915","34,439","21,873","8,781","2,943","92,951"
"(11,872)","(5,336)","(1,785)",(855),(959),"(20,807)"
"13,043","29,103","20,088","7,926","1,984","72,144"
"4,907","8,473",19,7,167,"13,573"
277,"3,367","6,072",-,563,"10,279"
(3),(64),(1),-,"(5,851)","(5,919)"
"(13,667)","(10,068)",(23),"(1,715)","(2,036)","(27,509)"
393,-,-,-,-,393
"(4,151)","(19,414)",(270),(243),"(13,294)","(37,372)"
799,"11,397","25,885","5,975","(18,467)","25,589"
-,-,-,-,130,130
799,"11,397","25,885","5,975","(18,337)","25,719"
(190),"(2,710)","(6,154)","(1,421)","4,360","(6,115)"
609,"8,687","19,731","4,554","(13,977)","19,604"
