"7,682,480","7,900,913","7,262,481","7,488,715"
"1,457,030","2,967,425","1,203,928","2,836,050"
"597,153","475,144","588,815","450,566"
"(856,280)","(2,292,051)","(841,740)","(2,206,708)"
"(690,870)","(1,368,951)","(619,525)","(1,306,142)"
"8,189,513","7,682,480","7,593,959","7,262,481"
"1,451,689","718,553","1,312,085","652,000"
"117,171","733,136","(47,227)","660,085"
"1,568,860","1,451,689","1,264,858","1,312,085"
"11,008,866","8,572,112","8,788,862","6,708,638"
"4,021,631","3,146,131","3,494,000","2,921,440"
"11,964,241","9,031,280","9,681,638","8,095,115"
"55,096,544","40,818,797","51,659,333","37,806,200"
"48,134,142","41,087,954","31,792,572","32,386,272"
"130,225,424","102,656,274","105,416,405","87,917,665"
"122,523,105","97,165,895","97,714,086","82,427,286"
"7,702,319","5,490,379","7,702,319","5,490,379"
"130,225,424","102,656,274","105,416,405","87,917,665"
