Column,Level 1,Level 2,Level 3
,"Unadjusted quoted prices in active
markets for identical assets or
liabilities;","Other techniques for which all inputs
which have a significant effect on the
recorded fair value are observable,
either directly or indirectly;",
Types of financial assets,"Actively traded government and other
agency securities.
Listed derivative instruments.
Listed equities.","Corporate and other government
bonds and loans.
Over-the-counter (OTC) derivatives.","Corporate bonds in illiquid markets.
Highly structured OTC derivatives with
unobservable parameters."
,Listed derivative instruments.,Over-the-counter (OTC) derivatives.,
