RETAIL - TERM LOANS,Column,Column,Column,Column
,"315,200","14,926","39,157","369,283"
,"5,244","(5,322)",78,-
,"(11,160)","12,097",(937),-
,"(5,271)","(3,766)","9,037",-
,"(27,602)","(2,630)","1,765","(28,467)"
,"173,637","37,059","7,123","217,819"
,"(103,716)","(4,052)","(14,737)","(122,505)"
,-,-,"(8,993)","(8,993)"
,"346,332","48,312","32,493","427,137"
