KShs Millions,Column,"Actual
Dec -15","Actual
Dec-14","% Y-O-Y
Change"
F,unding Portfolio,,,
C,ustomer Deposits,"424,391","377,272",12%
B,alances due to other banks,"23,138","14,296",62%
O,ther liabilities,"9,182","10,404",-12%
L,ong-term debt,"20,130","12,735",58%
To,tal Liabilities,"476,841","414,707",15%
S,hare capital,"3,025","3,025",0%
R,eserves and premium,"72,178","66,556",8%
P,roposed dividend,"6,050","6,050",0%
S,hareholders’ Equity,"81,254","75,631",7%
To,tal Liabilities and Equity,"558,094","490,338",14%
,17,,,
