SECTOR,"% OF
GROSS
LOANS",2011,2010,"%
GROWTH"
MORTGAGE,16%,"33,722","22,655",49%
"MICRO CREDIT/
PERSONAL",29%,"60,271","45,093",34%
AGRICULTURE,6%,"10,677","9,175",16%
SME,11%,"22,506","19,970",13%
CORPORATE,38%,"79,540","61,872",29%
TOTAL PROVISIONS,,"(7,991)","(10,652)",(25%)
NET LOANS,,"198,725","148,113",34%
