KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"30-Sep-22
Kshs 000
Un-audited","30-Jun-22 31-Mar-22 31-Dec-21 30-Sep-21
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
6,737,958 8,528,043 9,372,477 7,078,761
31,537,378 22,427,593 27,674,664 49,406,305
2,146,352 2,577,572 2,583,083 -
- - - -
111,436,114 99,784,029 88,570,009 81,997,542
- - - -
88,107,155 91,405,803 94,334,482 83,231,000
2,064,375 2,126,118 2,065,054 -
2,181,428 2,645,218 4,046,727 4,309,114
13,547,574 7,404,906 4,317,828 12,033,538
194,730 - - -
563,188,212 551,160,564 529,280,381 511,324,174
5,412,330 4,834,579 4,303,501 4,999,839
400,253 400,253 401,675 600,000
- - - -
- - - -
10,227,387 10,227,387 10,227,387 11,137,000
9,705,182 9,815,944 9,806,117 8,794,134
118,275 118,899 119,523 122,020
3,965,277 4,160,335 3,771,158 4,037,880
19,882,401 19,237,528 18,473,135 16,477,428
- - - -
16,987,987 21,625,181 17,047,723 23,264,556","30-Sep-22
Kshs 000
Un-audited","30-Jun-22 31-Mar-22 31-Dec-21 30-Sep-21
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
1,025,598 1,091,995 1,250,983 1,007,756
3,854,871 3,378,494 7,722,963 3,757,987
- - - -
- - - -
25,983,415 33,126,102 33,049,950 33,234,414
294,984 303,831 295,081 -
19,563,681 18,193,460 20,024,351 20,783,253
- - - -
4,053,430 1,352,457 1,852,529 6,955,814
975,532 946,746 496,359 1,021,973
- - - 78,984
68,958,047 67,470,096 67,045,738 64,953,499
- - - -
570,008 682,051 649,876 657,458
24,963 24,963 24,963 24,963
- - - -
- - - -
3,977,222 3,967,622 4,119,087 4,274,938
- - - -
485,284 555,525 612,378 568,933
3,841,789 3,384,397 3,317,439 3,007,004
- - - -
5,397,800 6,021,806 6,081,608 5,924,482","30-Sep-22
Kshs 000
Un-audited","30-Jun-22 31-Mar-22 31-Dec-21 30-Sep-21
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-audited Un-audited Audited Un-audited
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
102,106 92,517 93,053 -
- - - -
1,404,799 3,508,306 2,316,966 5,115,682
- - - -
89,158,501 87,963,501 87,963,501 84,540,431
- - - -
- - - -
819,446 822,035 614,434 822,916
- - - -
4,558 5,065 5,571 6,078
81,690 44,703 - -
- - - -
43,507 60,764 3,703 33,325","30-Sep-22
Kshs 000
Un-audited"
"7,459,197",,"1,472,320",,-,,"16,345,347"
"52,551,406",,"4,239,958",,-,,"56,791,364"
"98,115",,-,,-,,"7,221,689"
-,,-,,-,,-
"111,265,537",,"25,840,186",,-,,"137,587,495"
-,,"303,928",,-,,"9,875,283"
"78,335,701",,"20,354,561",,-,,"99,261,479"
"2,126,796",,-,,-,,"23,163,183"
"15,005,195",,"2,852,761",,-,,"15,561,444"
"10,544,530",,"947,000",,-,,"46,802,304"
"2,102,568",,"218,841",,"105,345",,"2,048,681"
"581,042,662",,"69,876,593",,-,,"758,815,986"
"6,823,459",,-,,-,,-
"421,889",,"529,297",,-,,"421,889"
-,,"24,963",,"89,158,501",,-
-,,-,,-,,-
"12,600,607",,-,,-,,"13,039,641"
"9,920,318",,"2,599,615",,"821,620",,"20,262,705"
"117,651",,-,,-,,"122,946"
"3,593,161",,"434,941",,"4,052",,"6,132,306"
"19,127,279",,"4,077,300",,"46,417",,"23,727,314"
-,,-,,-,,-
"26,462,554",,"6,166,549",,"51,000",,"39,101,632"
"939,598,625","887,840,368 858,479,952 826,394,924 818,813,291","139,938,813","139,006,624 140,499,545 146,543,305 146,251,458","90,186,935","91,614,607 92,496,891 90,997,228 90,518,432","1,276,282,688"
,"- 7,994,240 - -
674,828,828 631,128,521 624,480,440 631,255,026
5,240,432 9,474,922 3,717,079 2,919,930
11,668,798 8,826,476 6,060,540 1,365,110
- - - -
35,656,075 33,314,599 33,621,640 33,137,116
- - - -
- 9,094,891 5,287,663 3,630,072
3,588,745 4,858,749 5,938,471 -
- - - -
458,000 458,000 458,000 177,000
23,213,938 27,534,923 23,007,626 22,976,568",,"- 6,995,020 3,496,740 -
112,456,059 98,656,380 106,103,099 115,424,152
2,341,580 9,905,645 10,554,365 3,310,433
4,769,203 5,462,230 7,455,621 7,532,793
- - - -
- - - 3,315,000
- - - -
178,799 284,351 215,227 -
274 274 274 5,681
- - - -
- - - -
3,028,624 2,812,303 2,353,257 3,637,747",,"- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - -
- - - 58,681
5,156,922 - - -
- - 7,007 6,354
- - - -
309,325 617,866 605,261 118,070",
"24,947,348",,"3,950,662",,-,,"28,898,010"
"681,968,942",,"108,438,035",,-,,"922,303,721"
"6,473,878",,"4,980,883",,-,,"10,254,550"
"6,918,706",,"3,918,580",,-,,"22,467,062"
-,,-,,-,,-
"53,905,837",,"608,655",,-,,"62,687,703"
-,,-,,"3,573,273",,-
-,,-,,-,,-
-,,274,,-,,-
-,,-,,-,,"655,000"
"458,000",,-,,-,,"458,000"
"22,729,340",,"2,987,442",,"447,762",,"38,340,141"
"797,402,051","754,654,816 732,685,321 702,571,459 695,460,822","124,884,531","122,774,539 124,116,203 130,178,583 133,225,806","4,021,035","5,466,247 617,866 612,268 183,105","1,086,064,187"
,"53,986,100 53,986,100 53,986,100 53,986,100
- - - -
- - - -
71,187,666 69,859,150 60,677,534 63,661,584
11,352,378 4,435,113 5,346,700 -
) (3,340,592) (2,485,732) (1,045,618) (233,686)
- - 4,858,749 5,938,471
- - - -",,"12,683,038 12,683,038 12,683,038 12,368,906
3,141,319 3,141,319 3,141,319 -
1,200,558 1,200,558 1,200,558 1,225,905
(5,192,523) (5,121,889) (5,190,271) (5,503,011)
5,184,560 4,789,033 4,520,549 4,781,842
(784,867) (308,717) 9,529 152,010
- - - -
- - - -",,"3,213,463 3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149 27,690,149
- - - -
55,244,748 54,548,487 49,840,959 56,218,252
- - - -
- - - -
- 6,426,926 9,640,389 3,213,463
- - - -",
"53,986,100",,"12,683,038",,"3,213,463",,"3,213,463"
-,,"3,141,319",,"27,690,149",,"27,690,149"
-,,-,,-,,-
"63,692,045",,"(4,911,670)",,"52,048,825",,"136,463,912"
"25,407,241",,"5,033,545",,-,,"28,100,132"
"(4,102,275",,"(891,950)",,-,,"(10,909,538)"
"3,213,463",,-,,"3,213,463",,"3,213,463"
-,,-,,-,,-
"142,196,574","133,185,552 125,794,631 123,823,465 123,352,469","15,054,282","16,232,085 16,383,342 16,364,722 13,025,652","86,165,900","86,148,360 91,879,025 90,384,960 90,335,327","187,771,581"
-,- - - -,-,- - - -,-,- - - -,"2,446,920"
"939,598,625","887,840,368 858,479,952 826,394,924 818,813,291","139,938,813","139,006,624 140,499,545 146,543,305 146,251,458","90,186,935","91,614,607 92,496,891 90,997,228 90,518,432","1,276,282,688"
,"28,576,896 14,283,620 59,273,049 43,261,764
11,215,286 5,264,090 17,896,923 12,806,884
72,414 50,364 1,194,727 866,047
- - - -",,"3,865,030 1,702,206 6,301,436 4,529,734
2,881,276 1,496,467 5,761,130 4,194,319
31,249 22,174 170,981 129,007
17,610 8,749 6,221 -",,"- - 140,487 95,936
- - - -
7,977 1,788 16,662 13,378
- - - -",
"43,624,870",,"5,614,591",,-,,"58,855,307"
"17,291,940",,"4,225,991",,-,,"24,266,974"
"110,261",,"35,966",,"13,180",,"418,381"
-,,"26,553",,-,,-
"61,027,071","39,864,596 19,598,074 78,364,699 56,934,695","9,903,101","6,795,165 3,229,596 12,239,768 8,853,060","13,180","7,977 1,788 157,149 109,314","83,540,662"
,"8,066,785 4,005,233 14,665,787 10,565,729
1,303,699 570,879 1,819,184 1,348,145
172,858 85,794 373,643 -",,"1,506,859 739,857 2,941,403 2,109,132
420,945 261,740 687,169 485,123
78,190 43,220 347,976 203,111",,"- - - -
- - - -
- - - -",
"12,559,222",,"2,282,313",,-,,"17,840,487"
"2,402,172",,"622,577",,-,,"3,741,741"
"256,575",,"122,179",,-,,"364,440"
"15,217,969","9,543,342 4,661,906 16,858,614 11,913,874","3,027,069","2,005,994 1,044,817 3,976,548 2,797,366",-,- - - -,"21,946,668"
"45,809,102","30,321,254 14,936,168 61,506,085 45,020,821","6,876,032","4,789,171 2,184,779 8,263,220 6,055,694","13,180","7,977 1,788 157,149 109,314","61,593,994"
,"4,740,198 2,319,803 8,278,303 6,139,315
3,707,715 2,053,377 6,648,903 4,901,360
3,615,605 1,184,287 3,951,977 2,526,890
- - - -
2,055,787 1,234,746 3,399,876 3,061,743",,"157,736 68,572 84,686 64,820
316,902 182,497 691,150 775,497
401,436 120,605 666,907 457,085
- - 100,021 30,021
98,234 110,731 305,043 232,488",,"- - 32,385 2,259
- - - -
6,339 2,333 51,613 29,230
5,716,749 4,858,749 15,688,218 15,688,218
333,866 128,495 1,154,508 514,894",
"7,013,727",,"121,480",,-,,"7,833,454"
"5,556,918",,"551,215",,-,,"9,135,994"
"6,264,924",,"696,645",,"9,985",,"8,395,739"
-,,-,,"5,716,749",,-
"3,507,740",,"121,825",,"1,029,527",,"5,185,472"
"22,343,309","14,119,305 6,792,213 22,279,059 16,629,308","1,491,165","974,308 482,405 1,847,807 1,559,911","6,756,261","6,056,954 4,989,577 16,926,724 16,234,601","30,550,659"
"68,152,411","44,440,559 21,728,381 83,785,144 61,650,129","8,367,197","5,763,479 2,667,184 10,111,027 7,615,605","6,769,441","6,064,931 4,991,365 17,083,873 16,343,915","92,144,653"
