KCB Group,Column,Column,KCB Bank Kenya,Column,Column
Q3 24,Q3 25,Y-O-Y,Q3 24,Q3 25,Y-O-Y
,,Change,,,Change
149.0,150.7,1%,102.0,105.5,3%
(56.2),(46.3),(18%),(42.2),(33.4),(21%)
92.8,104.3,12%,59.8,72.1,21%
13.8,8.2,(40%),8.0,4.5,(43%)
31.1,30.6,(2%),17.4,17.7,1%
5.3,6.2,18%,3.2,4.4,37%
50.1,45.1,(10%),28.7,26.7,(7%)
142.9,149.4,5%,88.6,98.8,12%
(67.7),(69.1),2%,(34.3),(39.3),14%
(17.8),(18.3),3%,(14.1),(15.7),11%
57.4,62.1,8%,40.1,43.9,9%
(11.7),(14.8),26%,(8.4),(10.1),20%
45.8,47.3,3%,31.8,33.8,6%
