Financial,Fair value as at,Column,Fair,Valuation,Significant
Assets,31 December 2025,31 December 2024,value,technique (s),unobservable
,"Ksh
million",,,,
,"46,324",,,,
,"172,172",,,,
,"3,400",,,,
,172,,,,
,"222,068",,,,
