"GROUP BALANCE SHEET (KShs. Millions)
AUDITED %
DEC 2010 Mar-10 Mar-11 Changge",Column,Column,Column,Column,Column
,,"AUDITED
DEC 2010",Mar-10,Mar-11,"%
Changge"
,Assets,,,,
,Cash and balances with CBK,"18,028","16,578","17,842",8%
,Balances with other institutions,"19,181","19,323","23,588",22%
,Investments in Gvt. Securities,"44,246","37,860","48,159",27%
,Available for Sale Investments,"5,862","1,921","7,912",>100%
,Net loans and advances,"148,113","125,924","154,966",23%
,Fixed assets,"9,786","9,490","10,191",7%
,Other assets,"6,140","9,569","8,285",(13%)
,TToottaall AAsssseettss,"225511,335566","222200,666655","227700,994433",2233%%
,Liabilities,,,,
,Deposits,"196,975","185,359","209,200",13%
,Balances due to other banks,"11,057","6,113","13,761",>100%
,Other liabilities,"4,,194","5,,160","7,,093",37%
,Total Liabilities,"212,226","196,632","230,054",17%
,Share capital,"2,950","2,218","2,950",33%
,Proposed dividends,"3,688","2,218","3,688",66%
,Reserves and premium,"32,492","19,597","34,251",75%
"Shareholders Equity 39,130 24,033 40,889 70%
Total Liabilities and Equity 251,356 220,665 270,943 23%",Shareholders Equity,"39,130","24,033","40,889",70%
,Total Liabilities and Equity,"251,356","220,665","270,943",23%
