Column,CPI
CPI as at 31 December 2022,"5,718.97"
CPI as at 31 December 2023,"6,048.06"
CPI as at 31 December 2024,"24,034.48"
Average CPI in 2022,"6,577.44"
Average CPI in 2023,"6,732.23"
Average CPI in 2024,"13,499.88"
