Kenya,18.0%,18.0%,18.0%,18.0%,16.5%,16.5%,13.0%,13.0%,11.0%,11.0%,9.5%,9.5%,9.5%
Tanzania,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%
Uganda,21.0%,21.0%,21.0%,20.0%,19.0%,17.0%,15.0%,12.5%,12.5%,12.0%,12.0%,12.0%,12.0%
Rwanda,7.0%,7.0%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%,7.5%
