Director9s Name,Salary,Bonus,Column,Allowances,Gratuity,"Non-cash
beneût (1)",Total
,,Cash,Deferred,,,,
,KShs9000,KShs9000,KShs9000,KShs9000,KShs9000,KShs9000,KShs9000
,,,,,,,"177,651"
,,,,,,,"98,139"
