OTHER DISCLOSURES,BANK,Column,COMPANY,Column,GROUP,Column
,,"31-Dec-18
KShs 000","31-Dec-17
KShs 000","31-Dec-18
KShs 000","31-Dec-17
KShs 000
37,496,454
5,125,304","31-Dec-18
KShs 000"
,,"30,011,847",,,,"32,691,822"
,,"3,791,303",,,,"4,119,045"
,,"26,220,544",,,"32,371,150","28,572,777"
,,"13,339,097",,,"20,350,677","14,380,593"
,,"12,881,447",,,"12,020,472","14,192,184"
,,"11,432,696",,,"12,645,119","15,943,763"
,,"1,448,751",,,"(624,647)","(1,751,579)"
,,,,,"2,512,857
12,231,711",
,,"2,706,409",,,,"2,730,448"
,,"11,394,584",,,,"12,453,076"
,,"14,100,993",,,"14,744,567","15,183,523"
,,,,,"64,846,078
15,004,860
-",
,,"71,147,007",,,,"76,632,216"
,,"17,745,126",,,,"20,440,843"
,,-,,,,-
,,"88,892,133",,,"79,850,938","97,073,059"
,,"87,957,222",,,"85,245,565","109,939,064"
,,"1,000,000",,,"6,691,313
78,554,252
6,928,786","6,520,129"
,,"86,957,222",,,,"103,418,935"
,,"7,638,750",,,,"8,860,845"
,,"95,595,972",,,"92,174,351","118,799,910"
,,"537,572,619",,,"554,302,907","607,822,826"
,,18.5%,,,17.1%,20.5%
,,8.0%,,,"8.0%
9.1%",8.0%
,,10.5%,,,,12.5%
,,16.4%,,,15.4%,18.1%
,,10.5%,,,"10.5%
4.9%",10.5%
,,5.9%,,,,7.6%
,,17.8%,,,16.6%,19.5%
,,14.5%,,,"14.5%
2.1%",14.5%
,,3.3%,,,,5.0%
,,19.5%,,,,21.3%
,,17.2%,,,,18.8%
,,18.6%,,,,20.3%
,,29.4%,,,29.0%,33.3%
,,20.0%,,,20.0%,20.0%
,,9.4%,,,9.0%,13.3%
