Kenya1,Tanzania,South Sudan,Rwanda2,Uganda,Burundi,DR Congo
,"15
17
373
570
301",,"152
77
711
103
1,159",,"6
8
170
56
142",
297,,14,,14,,105
522,,14,,14,,85
"16,874",,48,,366,,"2,938"
"5,791",,21,,281,,532
"7,313",,156,,274,,"1,752"
,"4.9%
4.5%
5.2%",,"10.9%
6.0%
6.7%",,"3.1%
3.3%
4.1%",
7.5%,,5.3%,,6.7%,,6.2%
5.5%,,6.5%,,4.4%,,6.1%
5.1%,,5.6%,,5.9%,,8.0%
5.7%,"4.2%
4.8%",(8.5%),"(2.0%)
31.7%",2.9%,"10.0%
26.6%",4.2%
9.1%,,(11.6%),,10.2%,,14.1%
(9.1%),(0.5%),(54.7%),(6.0%),(4.8%),(2.9%),(1.1%)
7.0%,"5.0%
5.0%",12.0%,"4.5%
6.5%",6.5%,"6.0%
7.0%",8.5%
8.75%,,20.0%,,10.0%,,7.5%
(5.4%),,(2.7%),,(8.3%),,(0.9%)
(4.9%),,8.6%,,(8.0%),,0%
(5.4%),,2.1%,,(10.2%),,0%
