KCB BANK KENYA,Column,KCB GROUP,Column,Column,PLC COMPANY KCB GROUP PLC CONSOLIDATED,Column,Column
"30-Jun-25
Kshs 000
Un-Audited
8,705,442
52,172,574
21,988,937
-
-
135,092,408
-
146,285,516
1,961,923
5,506,513
63,878,441
-
808,894,832
7,811,273
954,171
-
-
12,600,607
10,329,081
112,035
5,661,833
35,259,761
-
34,130,124","31-Mar-25 31-Dec-24 30-Jun-24
Kshs 000 Kshs 000 Kshs 000
Un-Audited Audited Un-audited
8,653,255 9,971,074 6,889,723
42,616,010 32,458,420 43,757,729
19,010,512 19,347,443 1,484,345
- - -
- - -
136,127,951 140,000,648 141,120,019
- - -
152,545,760 141,931,087 122,856,809
2,023,547 1,962,483 1,961,806
8,658,808 3,449,615 2,910,044
99,845,093 91,590,928 165,917,279
- - -
760,298,000 736,614,026 710,046,556
10,318,647 10,055,415 11,111,578
903,364 837,395 701,222
- - -
- - -
12,600,607 12,600,607 12,600,607
10,981,978 10,385,132 10,364,475
111,411 112,035 113,283
5,082,222 5,080,800 3,157,030
30,417,160 32,215,891 31,732,748
- - -
29,314,268 29,153,540 29,972,994",,"30-Jun-25
Kshs 000
Un-Audited
-
-
-
-
-
-
-
-
-
-
68,838
5,875,246
5,484,244
-
99,634,015
-
-
854,055
-
5,465
16,534
-
14,996,579","31-Mar-25 31-Dec-24 30-Jun-24
Kshs 000 Kshs 000 Kshs 000
Un-Audited Audited Un-audited
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
- - -
78,971 51,781 113,188
1,833,890 1,061,667 841,320
14,074,293 6,163,407 5,321,545
- - -
114,280,238 114,280,238 114,280,238
- - -
- - -
854,151 853,679 877,347
- - -
6,936 8,790 467
11,367 32,994 77,956
- - -
314,693 377,326 59,938",,"30-Jun-25
Kshs 000
Un-Audited
31,854,474
52,172,574
22,325,932
-
-
135,669,664
95,182,384
147,129,461
24,095,439
5,506,513
202,738,645
69,256
1,095,406,182
-
954,171
-
-
14,404,358
23,939,960
112,530
14,764,616
36,751,266
-
65,897,500",
"1,351,345,471","1,329,508,593 1,277,766,539 1,296,698,247",,"126,934,976","131,454,539 122,829,882 121,571,999",,"1,968,974,925","2,034,172,570 1,962,320,080 1,976,856,183"
"-
1,031,466,777
2,495,941
3,939,167
-
63,706,918
12,426,449
559,870
-
-
664,000
29,966,979","- 8,005,282 67,443,836
1,007,061,773 971,960,594 978,413,046
7,353,130 15,538,281 8,549,922
2,035,270 1,010,562 8,343,163
- - -
67,564,429 54,883,832 47,073,121
9,704,135 9,939,761 2,199,077
7,804,510 4,839,459 2,244,543
6,426,926 - -
- - -
664,000 664,000 601,000
25,504,168 27,209,331 23,031,095",,"-
-
-
-
-
-
5,726,137
-
-
-
-
1,288,994","- - -
- - -
- - -
- - -
- - -
- - -
11,954,650 10,271,422 10,736,709
- - -
- - -
- - -
- - -
572,236 899,303 3,122,519",,"-
1,486,080,060
3,445,358
24,669,415
-
79,494,938
-
2,059,087
-
1,681,546
664,000
55,377,381","- 19,415,552 86,580,617
1,427,806,512 1,381,975,669 1,490,592,612
10,434,639 15,344,718 11,724,415
14,095,342 8,257,283 22,845,074
- - -
81,648,528 69,273,344 58,801,003
- - -
10,025,235 6,454,811 3,203,433
- - -
1,859,528 1,997,256 2,831,235
664,000 664,000 1,061,662
182,138,519 175,956,410 50,962,690"
"1,145,226,101","1,134,118,341 1,094,051,102 1,137,898,803",,"7,015,131","12,526,886 11,170,725 13,859,228",,"1,653,471,785","1,728,672,303 1,679,339,043 1,728,602,741"
"53,986,100
-
-
130,770,444
12,481,723
2,454,177
6,426,926
-","53,986,100 53,986,100 53,986,100
- - -
- - -
119,753,802 106,910,200 98,932,024
17,821,204 19,894,269 10,493,438
3,829,146 (3,502,058) (11,039,043)
- 6,426,926 6,426,926
- - -",,"3,213,463
27,690,149
-
76,162,381
-
-
12,853,852
-","3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149
- - -
83,203,846 75,935,351 71,988,964
- - -
- - -
4,820,195 4,820,195 4,820,195
- - -",,"3,213,463
27,690,149
-
270,650,901
11,600,517
(19,179,025)
12,853,852
-","3,213,463 3,213,463 3,213,463
27,690,149 27,690,149 27,690,149
- - -
262,116,490 243,383,785 226,146,384
17,589,990 20,232,345 9,409,416
(18,345,152) (24,450,352) (30,272,806)
4,820,195 4,820,195 4,820,194
- - -"
"206,119,370","195,390,252 183,715,437 158,799,444",,"119,919,845","118,927,653 111,659,157 107,712,771",,"306,829,857","297,085,135 274,889,584 241,006,801"
-,- - -,,-,- - -,,"8,673,283","8,415,132 8,091,453 7,246,641"
"1,351,345,471","1,329,508,593 1,277,766,539 1,296,698,247",,"126,934,976","131,454,539 122,829,882 121,571,999",,"1,968,974,925","2,034,172,570 1,962,320,080 1,976,856,183"
"48,961,228
18,329,712
1,892,558
-","24,300,473 102,617,981 44,725,193
9,291,507 38,935,799 20,216,190
657,026 4,092,441 2,205,716
- - -",,"-
-
-
324,069","- - -
- - -
- - -
137,555 378,736 162,657",,"70,566,886
24,008,495
5,919,400
-","35,459,231 153,628,997 69,193,108
12,270,033 50,205,490 25,470,078
2,456,185 9,567,159 2,752,807
- - -"
"69,183,498","34,249,006 145,646,221 67,147,099",,"324,069","137,555 378,736 162,657",,"100,494,781","50,185,449 213,401,646 97,415,993"
