"2012
KShs‘000","2011
KShs‘000"
"18,908,695
4,491,511
2,923,263
15,916,877
5,434,454
187,022,664
51,095,443
-
5,617,823
1,140,932
141,993
9,484,629
1,934,023","20,138,633
17,648,880
367,938
9,204,501
4,781,799
179,843,987
34,023,362
9,418
5,624,766
1,476,594
142,818
8,624,529
606,328"
"304,112,307","282,493,553"
"8,261,878
223,493,278
1,700,885
1,716,509
1,713,284
5,685,248
8,615,000","11,502,571
210,173,514
1,389,023
221,180
-
5,519,607
8,525,000"
"251,186,082","237,330,895"
"2,970,340
44,312,239
5,643,646","2,968,746
36,701,732
5,492,180"
"52,926,225","45,162,658"
"304,112,307","282,493,553"
