"2013
KShs.‘000","2012
KShs.‘000"
"2,984,228
37,019,471
19,330,200
(8,428,648)","2,970,340
28,319,248
18,921,568
(8,085,759)"
"50,905,251","42,125,397"
"10,293,318","2,799,884"
"61,198,569","44,925,281"
"272,565,071","197,733,995"
22.5%,22.7%
18.7%,21.3%
14.5%,12.0%
10.5%,8.0%
