"2013
KShs.‘000","2012
KShs.‘000"
"41,613,399
(8,629,113)","43,082,218
(12,445,986)
30,636,232
9,612,985
(539,173)
9,073,812
3,688,137
13,709
647,448
44,059,338
( 2,098,035)
(11,861,196)
(2,295,059)
(10,596,905)
17,208,143
(5,004,612)
12,203,531"
"32,984,286",
"10,500,837
(568,089)",
"9,932,748",
"3,942,186
12,009
991,249",
"47,862,478",
"(995,643)
(13,469,900)
(2,679,320)
(10,593,856)",
"20,123,759
(5,782,377)",
"14,341,382",
"14,341,382","12,203,531
4.11"
4.82,
