2012,"(Restated)
2011"
KShS’000,KShS’000
"38,898,300
(11,104,140)","25,631,566
(3,904,546)"
"27,794,160","21,727,020"
"6,280,033
1,681,984
13,709
637,658","6,537,177
1,940,587
26,157
803,636"
"36,407,544
(1,610,710)
(19,040,943)","31,034,577
426,371
(17,379,082)"
"15,755,891
(4,666,052)","14,081,866
(4,243,529)"
"11,089,839","9,838,337"
"11,089,839
-","9,838,337
-"
"11,089,839","9,838,337"
3.74,3.33
