2022,"At 1 January
2022
KShs million","Net change
in monetary
items
KShs million","At 31
December
2022
KShs million"
,"11,217",80,"11,297"
,-,-,-
,983,(124),859
,58,12,70
,"1,640","2,825","4,465"
,27,"1,224","1,251"
,"(8,079)","(3,896)","(11,975)"
,(3),3,-
,(72),120,48
,(622),"(2,811)","(3,433)"
,"(2,592)","2,268",(323)
,"2,558",(299),"2,258"
,"(2,342)",354,"(1,987)"
,216,55,271
