KCB KENYA BANK,Column,NATIONAL BANK OF KENYA,Column,KCB GROUP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
"11,215,286",,"2,881,276",,-,,"15,866,735"
"72,414",,"31,249",,"7,977",,"295,079"
-,,"17,610",,-,,-
"39,864,596","19,598,074 78,364,699 36,823,669","6,795,165","3,229,596 12,239,768 5,813,068","7,977","1,788 157,149 53,349","54,538,941"
,"4,005,233 14,665,787 6,654,627
570,879 1,819,184 889,627
85,794 373,643 -",,"739,857 2,941,403 1,357,121
261,740 687,169 305,219
43,220 347,976 83,860",,"- - -
- - -
- - -",
"8,066,785",,"1,506,859",,-,,"11,545,418"
"1,303,699",,"420,945",,-,,"2,136,625"
"172,858",,"78,190",,-,,"265,368"
"9,543,342","4,661,906 16,858,614 7,544,254","2,005,994","1,044,817 3,976,548 1,746,200",-,- - -,"13,947,411"
"30,321,254","14,936,168 61,506,085 29,279,415","4,789,171","2,184,779 8,263,220 4,066,868","7,977","1,788 157,149 53,349","40,591,530"
,"2,319,803 8,278,303 3,720,881
2,053,377 6,648,903 3,264,389
1,184,287 3,951,977 1,586,789
- - -
1,234,746 3,399,876 1,842,580",,"68,572 84,686 50,426
182,497 691,150 512,439
120,605 666,907 285,054
- 100,021 28,500
110,731 305,043 200,889",,"- 32,385 -
- - -
2,333 51,613 28,924
4,858,749 15,688,218 9,749,747
128,495 1,154,508 392,817",
"4,740,198",,"157,736",,-,,"5,305,574"
"3,707,715",,"316,902",,-,,"6,119,235"
"3,615,605",,"401,436",,"6,339",,"4,932,635"
-,,-,,"5,716,749",,-
"2,055,787",,"98,234",,"333,866",,"2,858,172"
"14,119,305","6,792,213 22,279,059 10,414,639","974,308","482,405 1,847,807 1,077,308","6,056,954","4,989,577 16,926,724 10,171,488","19,215,616"
"44,440,559","21,728,381 83,785,144 39,694,054","5,763,479","2,667,184 10,111,027 5,144,176","6,064,931","4,991,365 17,083,873 10,224,837","59,807,146"
,"1,701,574 10,702,886 5,860,842
4,310,870 16,915,986 8,247,597
143,362 542,156 271,073
69,035 159,150 108,860
537,866 2,145,492 1,058,030
375,466 1,630,771 863,402
2,776,811 11,185,470 4,522,001",,"221,107 1,014,004 297,367
1,095,477 4,266,885 2,147,727
6,469 26,719 12,282
34,682 141,700 88,692
166,332 762,341 328,414
82,337 364,429 192,934
581,308 2,147,992 1,055,062",,"- - -
237,970 1,044,027 303,723
17,202 46,920 24,474
- - -
3,715 13,669 6,686
506 2,026 1,013
71,310 447,212 442,525",
"3,287,594",,"563,400",,-,,"4,318,678"
"8,818,995",,"2,424,784",,"504,346",,"14,091,422"
"289,618",,"13,788",,"42,290",,"371,660"
"104,014",,"111,023",,-,,"299,018"
"1,082,785",,"316,822",,"7,491",,"1,967,867"
"760,219",,"162,542",,"1,013",,"1,067,820"
"6,254,926",,"1,206,971",,"193,430",,"9,512,285"
"20,598,151","9,914,984 43,281,911 20,931,805","4,799,330","2,187,712 8,724,070 4,122,478","748,570","330,703 1,553,854 778,421","31,628,750"
"23,842,408","11,813,397 40,503,233 18,762,249","964,149","479,472 1,386,957 1,021,698","5,316,361","4,660,662 15,530,019 9,446,416","28,178,396"
