Column,DIRECTORS’ FEES,SITTING ALLOWANCE,OTHER ALLOWANCES(1),NON CASH BENEFIT(2),TOTAL
Director’s Name,KShs. million,KShs. million,KShs. million,KShs. million,KShs. million
,3,2,2,,
,3,-,-,-,
,3,7,4,-,
,3,1,2,-,
,4,2,1,-,
,5,5,4,-,
,3,3,2,-,
,3,5,2,-,
,1,1,-,-,
,1,-,-,-,
