Note,"2021
KShs million","2020
KShs million"
,"8,991","2,167"
,31,54
,"(1,054)","(1,281)"
,"(2,746)","(3,424)"
,"(4,846)",-
,"(8,615)","(4,651)"
,-,"16,376"
,"(3,077)","(2,787)"
,"(1,231)","(1,100)"
,"(3,213)","(8,033)"
,"(7,521)","4,456"
,"(7,145)","1,972"
,"65,174","63,202"
,"58,029","65,174"
