"USD
KShs million","GBP
KShs million","EURO
KShs million","OTHER
KShs million","Total
KShs million"
"20,045",588,"2,997",320,"23,950"
"149,123",4,"1,489",-,"150,616"
"9,656",351,"1,647",222,"11,876"
"16,008",1,158,179,"16,346"
"194,832",944,"6,291",721,"202,788"
"5,804",10,140,4,"5,958"
"129,268",632,"4,751",322,"134,973"
"45,705",25,163,"(3,016)","42,877"
"180,777",667,"5,054","(2,690)","183,808"
"14,055",277,"1,237","3,411","18,980"
