KShs Millions,KCB Bank Kenya,Column,Column,KCB GROUP,Column,Column
,"Actual
H1-16","Actual
H1-17","Y-O-Y
Change","Actual
H1-16","Actual
H1-17","Y-O-Y
Change"
Cash,"6,591","6,850",4%,"11,271","9,887",(12%)
Balances with Central Bank,"34,926","18,456",-47%,"34,926","20,006",(43%)
Balances with other institutions,"5,797","9,043",56%,"84,948","43,271",(49%)
"Investments in Government & Other
securities","82,116","101,752",24%,"101,497","115,795",14%
Net loans and advances*,"315,327","373,809",19%,"348,696","406,976",17%
Fixed assets,"8,683","9,327",7%,"13,082","12,994",(1%)
Other assets,"14,680","20,735",41%,"15,787","21,680",37%
Total Assets,"468,119","539,972",15%,"610,207","630,608",3%
Customer Deposits,"366,821","423,696",16%,"476,520","482,845",1%
Balances due to other banks,"1,136","8,210",623%,"8,320","15,419",85%
Other liabilities,"12,854","13,705",7%,"11,163","17,281",55%
Long-term debt,"15,486","11,973",-23%,"17,746","16,733",(6%)
Total Liabilities,"396,29","457,584",15%,"513,749","532,277",4%
Shareholders’ Equity,"71,822","82,388",15%,"96,458","98,331",2%
Total Liabilities and Equity,"468,119","539,972",15%,"610,207","630,608",3%
