III OTHER DISCLOSURES,GROUP,Column,Column,Column,Column,Column
"10NON-PERFORMING LOANS AND ADVANCES
10.1 (a) Gross Non-performing loans and advances
10.2 (b) Less Interest in Suspense
10.3 (c)Total Non-Performing Loans and Advances (a-b)
10.4 (d) Less Loan Loss Provision
10.5 (e) Net Non-Performing Loans and Advances(c-d)
10.6 (f) Discounted Value of Securities
10.7 (g) Net NPLs Exposure (e-f)
11INSIDER LOANS AND ADVANCES
11.1 (a) Directors, Shareholders and Associates
11.2 (b) Employees
11.3 (c)Total Insider Loans and Advances and other facilities
12OFF-BALANCE SHEET ITEMS
12.1 (a)Letters of credit,guarantees, acceptances
12.2 (b)Other contingent liabilities
12.3 (c)Total Contingent Liabilities","31-Mar-10
Kshs 000
Un-Audited","31-Dec-10
Kshs 000
Audited","31-Mar-11
Kshs 000
Un-Audited","31-Mar-10
Kshs 000
Un-Audited","31-Dec-10
Kshs 000
Audited","31-Mar-11
Kshs 000
Un-Audited"
,"1 5,703,737
1 ,837,461","14,583,382
1,796,530","14,736,110
1,815,553","14,650,859
1,724,980","13,053,727
1,707,256","13,067,658
1,702,854"
,"1 3,866,276","12,786,852","12,920,557","12,925,879","11,346,471","11,364,804"
,"7 ,338,030","6,790,567","7,215,562","6,884,275","6,471,258","6,841,508"
,"6 ,528,246","5,996,285","5,704,995","6,041,604","4,875,213","4,523,296"
,"6 ,528,246","5,996,285","5,704,995","6,041,604","4,875,213","4,523,296"
,-,-,-,-,-,-
,"3 ,882,410
4 ,600,918","4,213,193
4,989,949","3,603,724
5,620,352","3,876,091
4,343,694","4,198,868
4,956,054","3,586,514
5,205,797"
,"8 ,483,328","9,203,142","9,224,076","8,219,785","9,154,922","8,792,311"
,"3 8,123,438
1 8,910,070","72,429,394
25,002,591","72,069,963
34,675,208","36,663,223
17,912,910","69,532,289
23,319,177","70,447,939
34,405,288"
,"57,033,508","9 7,431,985","106,745,171","5 4,576,133","92,851,466","104,853,227"
"13CAPITAL STRENGTH
13.1 (a)Core capital
13.2 (b) Minimum Statutory Capital
13.3 (c)Excess (a-b)
13.4 (d) Supplementary Capital
13.5 (e) Total Capital (a+d)
13.6 (f)Total risk weighted assets
13.7 (g) Core Capital/Total deposits Liabilities
13.8 (h) Minimum statutory Ratio
13.9 (I) Excess
13.10 (j) Core Capital / total risk weighted assets
13.11 (k) Minimum Statutory Ratio
13.12 (l) Excess (j-k)
13.13 (m) Total Capital/total risk weighted assets
13.14 (n) Minimum statutory Ratio
13.15 (o) Excess (m-n)
14LIQUIDITY
14.1 (a) Liquidity Ratio
14.2 (b) Minimum Statutory Ratio
14.3 (c) Excess (a-b)",,,,"19,397,468
250,000
1 9,147,468
8 6,215
1 9,483,683
1 37,693,668
11.6%
8%
3.6%
14.1%
8%
6.1%
14.2%
12%
2.2%
39.3%
20.0%
19.3%","35,220,808
500,000
34,720,808
59,428
35,280,236
152,310,594
21.6%
8%
13.6%
23.1%
8%
15.1%
23.2%
12%
11.2%
30.7%
20.0%
10.7%","34,704,495
500,000
34,204,495
59,428
34,784,503
162,481,336
20.0%
8%
12.0%
21.4%
8%
13.4%
21.4%
12%
9.4%
32.8%
20.0%
12.8%"
"INTERIM DIVIDEND
The Directors do not recommend payment of interim dividend.
MESSAGE FROM THE DIRECTORS
The above are extracts of financial statements and records of the Bank and Subsidiaries.
M L Oduor‐Otieno ‐ Chief Executive P W Muthoka ‐ Chairman",,,,,,
