"leasehold
improvements
Kshs.‘000",Column,"total
Kshs.‘000"
"3,035,008
290,747
-","13,029,634
1,452,239
(498,605)","17,905,918
1,742,986
(529,894)"
"3,325,755","13,983,268","19,119,010"
"803,009
445,485
-","7,915,182
1,629,421
( 465,492)","9,010,350
2,098,691
(474,867)"
"1,248,494","9,079,111","10,634,174"
"2,077,261","4,904,157","8,484,836"
"2,202,430
832,602
-
(24)","11,672,823
1,594,358
(928)
(236,620)","15,478,086
2,665,360
-
(237,529)"
"3,035,008","13,029,633","17,905,917"
"566,020
236,984
-
(1)","6,618,959
1,501,468
(85)
(205,160)","7,460,491
1,755,273
-
(205,420)"
"803,003","7,915,182","9,010,344"
"2,232,005","5,114,451","8,895,573"
