Column,Column,"ACTUAL
JUNE 2014","ACTUAL
JUNE 2013","% Y-O-Y
Change","ACTUAL
DEC 2013"
Asset Portfolio,,,,,
Cash and balances with Central Bank,"25,486",,"26,561",(4%),"23,933"
Balances with other institutions,"51,787",,"18,455",>100%,"20,409"
Investments in Government securities,"93,330",,"88,212",6%,"90,938"
Investment securities,"2,008",,"2,259",(11%),"2,058"
Net loans and advances,"244,014",,"214,085",14%,"227,722"
Fixed assets,"9,889",,"10,016",(1%),"10,030"
Other assets,"13,188",,"11,324",16%,"15,762"
Total Assets,"439,701",,"370,911",19%,"390,852"
