KCB Group,Column,Column,KCB Bank Kenya,Column,Column
2024,2025,Y-O-Y,2024,2025,Y-O-Y
,,Change,,,Change
64.8,152.1,135%,42.4,123.4,191%
218.0,234.5,8%,95.0,65.0,(32%)
408.9,453.7,11%,303.2,332.2,10%
990.4,"1,151.6",16%,736.6,866.9,18%
38.9,35.2,(10%),23.0,16.6,(28%)
241.3,120.2,(50%),77.5,93.5,21%
"1,962.3","2,147.2",9%,"1,277.8","1,497.7",17%
"1,382.0","1,592.6",15%,972.0,"1,140.4",17%
43.0,63.2,47%,24.6,11.3,(54%)
69.3,90.2,30%,54.9,70.9,29%
185.1,60.7,(67%),42.7,51.0,20%
"1,679.3","1,806.7",8%,"1,094.1","1,273.6",16%
274.9,331.5,21%,183.7,224.1,22%
8.1,9.1,12%,-,-,-
"1,962.3","2,147.2",9%,"1,277.8","1,497.7",17%
