Column,Column,"Actual
Jun-15","Actual
Jun-14","% Y-O-Y
Change"
F,unding Portfolio,,,
,Customer Deposits,"443,036","351,603",26%
,Balances due to other banks,"12,273","3,639",237%
,Other liabilities,"10,728","6,488",65%
,Long-term debt,"22,474","13,117",71%
,Total Liabilities,"488,512","374,846",30%
,Share capital,"3,025","2,984",1%
,Reserves and premium,"75,072","61,870",21%
,Proposed dividend,0,0,0%
,Shareholders’ Equity,"78,097","64,855",20%
,Total Liabilities and Equity,"566,610","439,701",29%
,"Liability & Equity Contribution Key Highlights
Total liabilities increased by 29 % due to;
Bank & Debt Balances
4%
 Deposits up 26% due to customer numbe
6%
growth.
ShareholdersFunds
15%  Borrowed funds up 71% due to addition
14%
funding fromIFC,SCB & GIB ($170M)
Deposits
80%
78%
Other Liabilities
1%
2%
Jun-14 Jun-15
17",,,
