Q3 24,FY 24,H1 25,Column,KCB Kenya,KCB Group
,24.6%,22.2%,,27.6%,21.6%
,45.4%,46.0%,Cost to income,39.7%,46.2%
,19.2%,18.7%,Gross NPL to gross loans,21.2%,17.8%
,64.1%,51.8%,NPL regulatory coverage,69.5%,54.5%
,25.2%,25.9%,Debt to equity,30.4%,26.7%
,33.0%,29.9%,Non funded income (NFI) to total income,27.0%,30.2%
,4.5%,3.9%,Cost of funds,4.0%,3.7%
,7.6%,7.2%,Net interest margin,7.1%,7.0%
,2.8%,2.2%,Cost of risk,2.4%,2.1%
,71.7%,73.7%,Net loans to deposits ratio,80.0%,74.7%
,20.8%,21.6%,Government and other securities to total assets,23.8%,22.1%
,(9.6%),6.1%,Growth in net loans and advances,17.0%,8.2%
,(18.3%),(0.3%),,2.8%,(0.8%)
