Kenya,Tanzania,South Sudan,Rwanda,Uganda,Burundi,DR Congo
,"19
64
21
601
803
-
381",,"73
475
59
2,178
1,045
-
1,016",,"8
70
8
329
67
-
199",
214,,16,,16,,106
"28,446",,228,,141,,"2,572"
477,,12,,24,,108
"21,834",,43,,542,,"4,718"
"10,034",,19,,421,,648
"1,312",,-,,-,,-
"7,234",,250,,429,,"1,873"
,"5.1%
5.6%
6.0%",,"8.2%
8.9%
7.1%",,"2.7%
3.5%
4.4%",
5.7%,,2.5%,,4.8%,,8.5%
4.7%,,(26.1%),,6.3%,,6.5%
5.2%,,24.3%,,6.4%,,5.3%
3.6%,"3.1%
3.4%",6.6%*,"-0.8%
6.2%",3.0%,"23.3%
36.9%",15.1%
4.6%,,-,,4.0%,,7.8%
(0.2%),"10.2%
10.3%",(47.5%),"(7.6%)
(7.3%)",5.4%,"(2.0%)
(1.9%)",22.7%
-,,(47.2%),,5.6%,,22.6%
12.75%,"6.0%
6.0%",20.0%,"6.5%
6.75%",10.0%,"12.0%
12.0%",25.0%
9.5%,,15.0%,,9.75%,,25.0%
(4.0%),"(3.7%)
(2.6%)
(2.4%)",2.9%,"(11.7%)
(12.7%)
(6.3%)",(7.4%),"(13.8%)
(11.5%)
(6.2%)",(6.3%)
(1.3%),,(4.0%),,(7.7%),,(3.4%)
(1.7%),,(9.2%),,(6.4%),,(3.2%)
