Profit and Loss Account,"31-Dec-2015
(Kes ‘000)","31-Dec-2016
(Kes ‘000)","31-Dec-2017
(Kes ‘000)","31-Dec-
2018
(Kes ‘000)"
Interest Income,"12,248,203","12,100,827","9,962,495","8,912,892"
Interest Expense,"(5,850,664)","(4,308,945)","(3,237,573)","(2,884,962)"
Net Interest Income,"6,397,539","7,791,882","6,724,922","6,027,930"
Non-Interest Income,"3,157,554","2,857,037","2,428,679","1,990,944"
Total Operating Income,"9,555,093","10,648,919","9,153,601","8,018,874"
Loan Loss Provisions,"(3,719,128)","(2,415,001)","(756,740)","(185,099)"
Total Operating Expenses,"(11,193,078)","(10,569,028)","(8,368,519)","(7,565,523)"
Profit/(loss) before tax and exceptional items,"(1,637,985)","79,891","785,082","456,351"
Exceptional Items,-,-,-,"(541,252)"
Profit after exceptional items,"(1,637,985)","79,891","785,082","(84,901)"
Current tax,"(24,018)","(15,319)","(29,078)","(53,611)"
Deferred tax,"508,526","6,381","(345,221)","145,520"
Profit/(loss) after tax and exceptional items,"(1,153,477)","70,953","410,784","7,008"
