Name,Appointment Date,Retirement Date
,4 June 2018,
C. S. National Treasury,Institutional,-
,7 August 2018,
Mrs. Anne Eriksson,18 December 2019,23 March 2023*
,16 July 2020,
Dr. Obuya Bagaka,6 October 2020,26 September 2027
,10 November 2021,
Ms. Anuja Pandit,16 August 2022,15 August 2030
