"2013
KShs.‘000","2012
Restated
KShs.‘000"
"14,341,382","12,203,531
1,191,000
( 357,300)
833,700
97,273
1,898,331
2,829,304
15,032,835
15,032,835"
"727,000
(218,100)",
"508,900
(736,114)
(78,581)",
"(305,795)",
"14,035,587",
"14,035,587",
