"2012
KShS’000","2011
KShS’000"
"11,089,839","9,838,337"
"1,898,331","(2,208,502)"
"1,898,331","(2,208,502)"
"12,988,170","7,629,835"
"12,988,170
-","7,629,835
-"
"12,988,170","7,629,835"
