KCB BANK KENYA,Column,Column,Column,KCB GRO,Column,Column,UP PLC COMPANY,Column,KCB GROUP PLC CONSOLIDATED
,"30-Sep-25
Kshs 000
Un-Audited",,"30-Jun-25 31-Mar-25 31-Dec-24 30-Sep-24
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-Audited Un-Audited Audited Un-Audited
10,022,024 4,235,800 21,493,367 14,135,134
13,511,360 6,514,860 22,143,279 16,311,559
111,550 76,283 137,423 105,149
178,859 58,698 326,322 211,329
1,324,465 666,503 2,491,126 1,897,821
549,900 243,027 1,391,966 1,092,367
10,187,774 5,212,969 20,294,288 14,697,391",,"30-Sep-25
Kshs 000
Un-Audited
-
764,656
235,994
-
13,964
3,937
2,204,270","30-Jun-25 31-Mar-25 31-Dec-24 30-Sep-24
Kshs 000 Kshs 000 Kshs 000 Kshs 000
Un-Audited Un-Audited Audited Un-Audited
- - - -
546,716 108,514 826,578 538,258
153,142 66,073 294,830 243,220
- - - -
9,196 4,598 19,789 9,136
4,405 2,933 1,491 1,024
1,150,342 324,926 1,039,382 3,215,086",,"30-Sep-25
Kshs 000
Un-Audited
18,256,523
31,489,871
399,732
669,605
5,286,521
1,117,263
30,129,780",
,"15,672,266",,,,,,,,
,"20,466,776",,,,,,,,
,"144,696
284,077",,,,,,,,
,"2,008,486
731,861",,,,,,,,
,"15,633,660",,,,,,,,
,"54,941,822",,"35,885,932 17,008,140 68,277,771 48,450,750",,"3,222,821","1,863,801 507,044 2,182,070 4,006,724",,"87,349,295",
,"43,869,205",,"28,400,754 14,517,952 58,375,497 40,121,787",,"12,254,733","13,129,869 7,312,880 6,088,323 3,914,283",,"62,084,147",
,-,,- - - -,,-,- - - -,,-,
,"43,869,205",,"28,400,754 14,517,952 58,375,497 40,121,787",,"12,254,733","13,129,869 7,312,880 6,088,323 3,914,283",,"62,084,147",
,"(14,258,775)
4,181,381",,"(9,953,585) (2,985,990) (18,275,739) (12,967,183)
4,427,422 (464,390) 4,929,555 4,595,550",,"(48,184)
5,243","(32,526) (22,755) (67,668) (41,001)
(16,460) (21,627) (44,962) 516,218",,"(19,351,121)
4,590,614",
,,,"22,874,591 11,067,572 45,029,313 31,750,154",,"12,211,792","13,080,883 7,268,498 5,975,693 4,389,500",,"47,323,640",
,"33,791,811",,,,,,,,
,-,,- - - -,,-,- - - -,,"1,308,023",
,"33,791,811",,"22,874,591 11,067,572 45,029,313 31,750,154",,"12,211,792","13,080,883 7,268,498 5,975,693 4,389,500",,"46,015,617",
,,,"- - - -
5,956,235 7,331,205 8,873,000 554,632
- - 8,000 -
- - - -
(1,383,662) (1,334,450) (2,487,000) (166,390)",,"-
-
-
-
-","- - - -
- - - -
- - - -
- - - -
- - - -",,"(197,302)
8,807,550
-
-
(2,642,265)",
,-,,,,,,,,
,"5,136,024",,,,,,,,
,-,,,,,,,,
,-,,,,,,,,
,"(1,540,807)",,,,,,,,
"3,595,217","3,595,217",,"4,572,573 5,996,755 6,394,000 388,242",,-,- - - -,,"5,967,983",
,"37,387,028",,"27,447,164 17,064,327 51,423,313 32,138,396",,"12,211,792","13,080,883 7,268,498 5,975,693 4,389,500",,"53,291,623",
,0.83,,0.85 0.82 0.83 0.78,,5.07,8.14 2.26 1.86 1.82,,19.12,
,-,,0.12 - 0.24 -,,-,4.00 - 3.00 -,,-,
,,"49
44","199,870,056 184,348,986 176,810,996 166,690,311
31,503,598 29,538,713 26,112,093 23,555,332",,,,,"222,068,738
35,256,357",
,"201,259,4",,,,,,,,
,"34,808,6",,,,,,,,
,"166,450,8",05,"168,366,458 154,810,274 150,698,903 143,134,979",,,,,"186,812,381",
,"105,031,7",76,"100,038,918 96,289,203 90,352,938 84,605,458",,,,,"115,578,571",
,"61,419,0",29,"68,327,541 58,521,070 60,345,965 58,529,521",,,,,"71,233,810",
,,27,"62,221,480 51,981,602 56,901,270 51,564,967",,,,,"58,328,072",
,"55,154,2",,,,,,,,
,"6,264,8",02,"6,106,061 6,539,468 3,444,695 6,964,554",,,,,"12,905,738",
,"6,045,759",,"7,180,156 7,639,443 8,357,211 10,419,601
19,667,189 19,172,460 17,227,793 15,488,094",,,,,"16,728,031
23,241,218",
,"19,641,985",,,,,,,,
,"25,687,744",,"26,847,346 26,811,903 25,585,004 25,907,695",,,,,"39,969,249",
,,,"293,292,203 247,921,866 242,222,423 302,914,713
41,125,789 26,799,888 24,530,418 19,463,125
- - - -",,,,,"368,838,827
51,754,351
-",
,"295,904,648",,,,,,,,
,"44,260,007",,,,,,,,
,-,,,,,,,,
,"340,164,655",,"334,417,992 274,721,754 266,752,841 322,377,838",,,,,"420,593,178",
,,,"155,391,411 154,609,569 144,770,039 123,454,234",,,,,"282,355,963",
,"163,634,978",,,,,,,,
,"1,000,000",,"1,000,000 1,000,000 1,000,000 1,000,000",,,,,"1,000,000",
,"162,634,978",,"154,391,411 153,609,569 143,770,039 122,454,234",,,,,"281,355,963",
,"43,184,831",,"44,955,785 45,041,650 32,072,475 32,380,236",,,,,"43,184,831",
,"206,819,809",,"200,347,197 199,651,219 176,842,514 155,834,470",,,,,"325,540,794",
,"1,063,381,436",,"1,023,208,719 976,972,013 962,569,845 934,700,882",,,,,"1,662,791,023",
,15.4%,,15.1% 15.4% 14.8% 11.8%,,,,,18.5%,
,8.0%,,8.0% 8.0% 8.0% 8.0%,,,,,8.0%,
,7.4%,,7.1% 7.4% 6.8% 3.8%,,,,,10.5%,
,15.4%,,15.2% 15.8% 15.0% 13.2%,,,,,17.0%,
,10.5%,,10.5% 10.5% 10.5% 10.5%,,,,,10.5%,
,4.9%,,4.7% 5.3% 4.5% 2.7%,,,,,6.5%,
,19.4%,,19.6% 20.4% 18.4% 16.7%,,,,,19.6%,
,,,14.5% 14.5% 14.5% 14.5%,,,,,14.5%,
,14.5%,,,,,,,,
,,,5.1% 5.9% 3.9% 2.2%,,,,,5.1%,
,4.9%,,,,,,,,
,39.7%,,41.4% 45.1% 42.4% 42.2%,,,,,46.7%,
,20.0%,,20.0% 20.0% 20.0% 20.0%,,,,,20.0%,
,19.7%,,21.4% 25.1% 22.4% 22.2%,,,,,26.7%,
