III OTHER DISCLOSURES,BANK,Column,Column,Column,Column,GROUP CONSOLIDATED,Column,Column,Column,Column
"1NON-PERFORMING LOANS AND ADVANCES
a) Gross Non-performing loans and advances
b) Less Interest in Suspense
c)Total Non-Performing Loans and Advances (a-b)
d) Less Loan Loss Provision
e) Net Non-Performing Loans and Advances(c-d)
f) Discounted Value of Securities
g) Net NPLs Exposure (e-f)
2INSIDER LOANS AND ADVANCES
a) Directors, Shareholders and Associates
b) Employees
c)Total Insider Loans and Advances and other facilities
3OFF-BALANCE SHEET ITEMS
a)Letters of credit,guarantees, acceptances
b) Forwards, swaps and options
c) Other contingent liabilities
d)Total Contingent Liabilities","30-Sep-14
Kshs 000
Un-Audited","31-Dec-14
Kshs 000
Audited","31-Mar-15
Kshs 000
Un-Audited","30-Jun-15
Kshs 000
Un-Audited","30-Sep-15
Kshs 000
Un-Audited","30-Sep-14
Kshs 000
Un-Audited","31-Dec-14
Kshs 000
Audited","31-Mar-15
Kshs 000
Un-Audited","30-Jun-15
Kshs 000
Un-Audited","30-Sep-15
Kshs 000
Un-Audited"
,"1 3,375,545
1 ,960,902","1 3,367,944
1 ,809,962","1 7,384,023
2 ,572,007","1 8,809,920
2 ,457,536","1 8,187,505
2 ,484,695","1 8,490,214
2 ,734,507","1 8,404,132
2 ,588,273","2 1,880,196
3 ,351,776","2 4,183,168
3 ,319,798","2 4,547,953
3 ,436,373"
,"1 1,414,643","1 1,557,982","1 4,812,016","1 6,352,384","1 5,702,810","1 5,755,706","1 5,815,858","1 8,528,419","2 0,863,370","2 1,111,580"
,"6 ,286,008","6 ,764,855","6 ,820,479","7 ,227,377","8 ,802,107","8 ,208,641","9 ,402,308","9 ,108,129","9 ,896,799","1 2,201,221"
,"5 ,128,635","4 ,793,127","7 ,991,537","9 ,125,007","6 ,900,703","7 ,547,065","6 ,413,551","9 ,420,290","1 0,966,571","8 ,910,359"
,"4 ,034,949","4 ,793,127","7 ,991,537","9 ,125,007","6 ,900,703","6 ,672,037","6 ,413,551","9 ,420,290","1 0,966,571","8 ,910,359"
,"1 ,093,686",,,,,"8 75,029",,,,
,"4 62,680
8 ,603,188","3 75,380
8 ,912,786","1 77,884
8 ,973,654","9 3,520
9 ,087,749","1 ,231,412
9 ,683,939","8 44,249
9 ,410,100","6 48,670
9 ,795,649","5 52,025
9 ,900,418","4 38,843
1 0,063,566","1 ,577,019
1 0,720,625"
,"9 ,065,868","9 ,288,166","9 ,151,538","9 ,181,269","1 0,915,351","1 0,254,349","1 0,444,319","1 0,452,442","1 0,502,409","1 2,297,644"
,"7 0,637,745
5 7,528,983","6 9,223,656
3 5,375,754
-","6 4,451,811
2 6,010,480","6 7,831,261
1 7,340,061","5 9,645,759
1 1,034,397","7 4,754,144
5 7,861,251
-","7 2,326,419
3 6,498,020
-","6 8,461,144
2 6,327,615
-","6 9,927,355
1 8,084,883
-","6 2,729,347
1 2,710,048
-"
,"1 28,166,728","1 04,599,410","9 0,462,291","8 5,171,322","7 0,680,156","1 32,615,395","1 08,824,439","9 4,788,759","8 8,012,239","7 5,439,395"
"4CAPITAL STRENGTH
a)Core capital
b) Minimum Statutory Capital
c)Excess (a-b)
d) Supplementary Capital
e) Total Capital (a+d)
f)Total risk weighted assets
g) Core Capital/Total deposits Liabilities
h) Minimum statutory Ratio
I) Excess
j) Core Capital / total risk weighted assets
k) Minimum Statutory Ratio
l) Excess (j-k)
m) Total Capital/total risk weighted assets
n) Minimum statutory Ratio
o) Excess (m-n)
5LIQUIDITY
a) Liquidity Ratio
b) Minimum Statutory Ratio
c) Excess (a-b)","5 0,604,442
1 ,000,000
4 9,604,442
1 2,786,463
6 3,390,905
3 16,232,361
19.2%
8.0%
11.2%
16.0%
11%
5.5%
20.0%
15%
5.5%
32.8%
20.0%
12.8%","57,805,191
1,000,000
5 6,805,191
1 3,405,197
7 1,210,388
3 38,877,072
20.9%
8.0%
12.9%
17.1%
10.5%
6.6%
21.0%
14.5%
6.5%
31.3%
20.0%
11.3%","60,569,495
1,000,000
5 9,569,495
3 ,584,577
6 4,154,072
3 54,334,716
21.0%
8.0%
13.0%
17.1%
10.5%
6.6%
18.1%
14.5%
3.6%
31.4%
20.0%
11.4%","5 4,388,927
1 ,000,000
5 3,388,927
5 ,034,506
5 9,423,433
3 72,940,833
17.2%
8.0%
9.2%
14.6%
10.5%
4.1%
15.9%
14.5%
1.4%
32.2%
20.0%
12.2%","54,638,685
1,000,000
5 3,638,685
6 ,615,964
6 1,254,649
3 92,711,985
16.7%
8.0%
8.7%
13.9%
10.5%
3.4%
15.6%
14.5%
1.1%
26.2%
20.0%
6.2%",,,,,
"INTERIM DIVIDEND
The Directors do not recommend payment of interim dividend.
MESSAGE FROM THE DIRECTORS
These financial statements are extracts from the books of the institution. The complete set of quarterly financial statements, statutory and qualitative
disclosures can be accessed on the institutions website www.kcbbankgroup.com
They may also be accessed at the institutions head office located at Kencom House, Moi avenue
Ngeny Biwott- Chairman Joshua Oigara- Chief Executive Officer",,,,,,,,,,
