Shareholders,Number of Shares,"% of Issued
Share Capital"
"131,721","227,252,630",7.65
"31,611","337,981,787",11.38
964,"66,171,093",2.23
914,"258,368,480",8.71
206,"644,947,903",21.72
32,"1,434,024,263",48.31
"165,448","2,968,746,156",100.00
