"2013
Kshs.‘000","2012
Kshs.‘000"
"134,000
-
-","117,000
-
-"
"134,000","117,000"
"727,000
(849,000)
-","906,000
(891,000)
-"
"(122,000)","15,000"
"12,000","132,000"
"-
(21,000)
(706,000)
-","-
(1,003,000)
(188,000)
-"
"(727,000)","(1,191,000)"
"(1,049,000)
12,000
(73,000)
(727,000)","92,000
128,000
(78,000)
(1,191,000)"
"(1,837,000)","(1,049,000)"
